phase,epi,trans,endo
0.0000,244.9598,248.0000,234.5706
0.0204,244.8842,248.0000,234.0335
0.0408,244.3841,248.0000,233.2195
0.0612,243.1657,248.0000,231.9605
0.0816,241.1517,246.4728,230.2598
0.1020,238.4802,243.6996,228.2744
0.1224,235.4362,240.3346,226.2313
0.1429,232.3362,236.8643,224.3289
0.1633,229.4059,233.7611,222.6717
0.1837,226.7046,231.3055,221.2630
0.2041,224.1108,229.5110,220.0512
0.2245,221.3606,228.2172,218.9832
0.2449,218.1581,227.2523,218.0183
0.2653,214.3781,226.5182,217.1054
0.2857,210.2711,225.9701,216.1711
0.3061,206.4834,225.5688,215.1440
0.3265,203.8123,225.2410,214.0063
0.3469,202.8689,224.8454,212.8478
0.3673,203.8692,224.1936,211.8904
0.3878,206.5929,223.1817,211.4556
0.4082,210.4743,221.9661,211.8769
0.4286,214.8137,221.0190,213.3685
0.4490,219.0340,220.9677,215.8875
0.4694,222.8380,222.2795,219.0816
0.4898,226.1886,224.9833,222.4070
0.5102,229.1660,228.6226,225.3568
0.5306,231.8163,232.4849,227.6277
0.5510,234.0827,235.9473,229.1407
0.5714,235.8570,238.6928,229.9760
0.5918,237.0957,240.6934,230.3053
0.6122,237.8878,242.0802,230.3364
0.6327,238.4132,243.0452,230.2644
0.6531,238.8440,243.7775,230.2322
0.6735,239.2701,244.3958,230.3055
0.6939,239.6897,244.9154,230.4724
0.7143,240.0569,245.3001,230.6756
0.7347,240.3421,245.5531,230.8548
0.7551,240.5607,245.7638,230.9659
0.7755,240.7604,246.0925,230.9788
0.7959,240.9863,246.7089,230.8859
0.8163,241.2581,247.6886,230.7304
0.8367,241.5748,248.0000,230.6213
0.8571,241.9364,248.0000,230.7039
0.8776,242.3539,248.0000,231.0893
0.8980,242.8385,248.0000,231.7805
0.9184,243.3799,248.0000,232.6440
0.9388,243.9304,248.0000,233.4554
0.9592,244.4137,248.0000,234.0051
0.9796,244.7738,248.0000,234.2125
1.0000,245.0330,248.0000,234.1814
