phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-2.6213,77.5960,113.4191,6.8913,240.3642,240.9643,236.4346
0.0101,-2.9637,76.9517,112.8811,7.6817,240.7297,240.7628,235.9546
0.0202,-3.3061,76.3074,112.3430,8.4721,241.0951,240.5614,235.4746
0.0303,-2.8738,72.7192,111.9417,13.7998,240.0664,241.5421,233.1409
0.0404,-2.4254,69.0697,111.5432,19.2220,239.0087,242.5474,230.7687
0.0505,-1.4864,65.5751,110.8113,27.9051,237.1843,243.9985,227.4028
0.0606,-0.5266,62.0871,110.0653,36.7269,235.3273,245.4685,223.9946
0.0707,0.4158,60.7531,108.4706,44.2287,233.7412,245.5628,221.8059
0.0808,1.3571,59.5596,106.8205,51.6444,232.1728,245.5674,219.6968
0.0909,2.0286,59.8664,104.3027,59.0531,231.1470,243.7840,219.2298
0.1010,2.6761,60.3066,101.7079,66.4612,230.1695,241.8418,218.9087
0.1111,3.1725,61.1950,98.6724,73.6911,229.3636,239.2040,219.4615
0.1212,3.6517,62.1342,95.5868,80.9007,228.5772,236.4872,220.1137
0.1313,4.2087,62.5306,92.5775,85.2636,227.6416,234.5141,220.6066
0.1414,4.7766,62.8513,89.5788,89.2293,226.6852,232.6448,221.0773
0.1515,5.5261,62.5727,87.0468,90.7033,225.6518,231.2124,221.2760
0.1616,6.3058,62.1943,84.5925,91.7619,224.6056,229.8527,221.4293
0.1717,7.2409,61.8655,82.7528,92.5355,223.6705,228.7619,221.5028
0.1818,8.2063,61.5463,81.0330,93.2536,222.7570,227.7235,221.5608
0.1919,9.2123,61.1907,79.6665,95.0437,221.8115,227.0016,221.5142
0.2020,10.2275,60.8269,78.3795,97.0751,220.8588,226.3509,221.4440
0.2121,11.0661,59.9365,76.7837,102.2444,219.3939,225.9987,220.9114
0.2222,11.8594,58.9110,75.1088,108.2183,217.7978,225.7229,220.2601
0.2323,12.2185,57.4438,72.5350,115.5748,215.4441,225.1716,219.0394
0.2424,12.4518,55.8487,69.7011,123.3315,212.8711,224.5405,217.6540
0.2525,12.1932,54.3997,66.1167,128.6422,210.0338,222.8080,215.7579
0.2626,11.7750,52.9980,62.2890,133.1595,207.1107,220.7184,213.6962
0.2727,11.1629,51.9852,58.7339,131.9673,204.8403,218.0096,211.7773
0.2828,10.4808,51.1129,55.2772,128.7131,202.8057,215.0771,209.9099
0.2929,10.0076,50.6040,53.2176,125.4191,202.0077,213.5673,208.9327
0.3030,9.6179,50.2406,51.7168,122.1092,201.7045,212.6265,208.3116
0.3131,9.5605,49.9702,51.8196,108.1920,202.4453,213.8185,208.2398
0.3232,9.6497,49.7409,52.6300,89.5943,203.6469,215.9515,208.4105
0.3333,9.8382,49.2211,54.1470,71.5395,205.1478,220.1164,208.7990
0.3434,10.0750,48.5604,56.0066,53.7480,206.7940,225.2667,209.2932
0.3535,10.0377,48.0219,57.4565,44.4239,208.2319,229.5860,209.6805
0.3636,9.8549,47.5483,58.6886,39.5989,209.5593,233.4638,210.0109
0.3737,9.2007,47.6007,59.2409,37.8273,210.7532,235.1995,210.1358
0.3838,8.2726,47.9585,59.3982,37.8289,211.8696,235.6914,210.1414
0.3939,7.0397,48.2337,59.6007,37.5451,213.0665,235.3386,209.8456
0.4040,5.6136,48.4566,59.8317,37.0807,214.3143,234.4508,209.3591
0.4141,4.2701,48.3842,60.9446,33.7891,215.6827,234.4828,208.6912
0.4242,2.9837,48.1082,62.6659,28.5474,217.1343,235.1493,207.8983
0.4343,2.0334,48.3393,65.2760,22.4628,218.7152,236.7802,207.7204
0.4444,1.3352,48.9507,68.5528,15.7460,220.3931,239.1344,208.0038
0.4545,0.9416,50.4332,71.8857,10.6425,222.1097,240.9370,209.4435
0.4646,0.7962,52.6254,75.2644,6.8537,223.8580,242.2899,211.8254
0.4747,0.8009,55.2756,77.8799,4.8728,225.3652,242.3082,214.6919
0.4848,0.9383,58.3310,79.8200,4.4914,226.6591,241.1455,217.9873
0.4949,1.1120,60.9507,80.9297,4.3823,227.5867,239.5032,220.8340
0.5051,1.3206,63.1524,81.2421,4.5346,228.1628,237.4002,223.2500
0.5152,1.5125,64.6332,81.3235,4.6613,228.5607,235.9721,224.8927
0.5253,1.6869,65.3634,81.1644,4.7613,228.7731,235.2465,225.7303
0.5354,1.8321,65.7195,81.3870,4.6189,229.0200,235.1351,226.3097
0.5455,1.9442,65.6527,82.0409,4.2026,229.3056,235.7179,226.5974
0.5556,2.0335,65.4747,83.2151,3.8732,229.6660,236.5547,226.7584
0.5657,2.0949,65.1601,85.0277,3.6505,230.1180,237.7034,226.7639
0.5758,2.1356,64.8184,87.0725,3.7172,230.5774,238.8092,226.7264
0.5859,2.1487,64.4407,89.4267,4.1699,231.0467,239.8578,226.6317
0.5960,2.1348,64.1806,91.6236,4.5057,231.4689,240.6945,226.5643
0.6061,2.0818,64.0911,93.5923,4.6723,231.8227,241.2240,226.5365
0.6162,1.9987,64.1502,95.1774,4.8077,232.1302,241.6297,226.5304
0.6263,1.8680,64.4438,96.1567,4.8937,232.3645,241.8400,226.5586
0.6364,1.7178,64.6801,96.7684,5.0444,232.5755,241.9959,226.6004
0.6465,1.5339,64.8178,96.7473,5.3064,232.7463,242.0581,226.6658
0.6566,1.3460,64.9066,96.5550,5.4793,232.9139,242.1185,226.7366
0.6667,1.1506,64.9032,96.0404,5.4846,233.0753,242.1755,226.8176
0.6768,0.9533,64.9271,95.5951,5.4931,233.2383,242.2430,226.8867
0.6869,0.7524,65.0074,95.2926,5.5082,233.4045,242.3320,226.9314
0.6970,0.5486,65.1466,95.2061,5.6613,233.5723,242.4165,226.9666
0.7071,0.3386,65.4192,95.6090,6.1274,233.7437,242.4909,226.9799
0.7172,0.1446,65.6477,96.2203,6.5226,233.9114,242.5471,226.9882
0.7273,-0.0091,65.7658,97.3527,6.7410,234.0698,242.5577,226.9838
0.7374,-0.1227,65.8375,98.5788,6.8717,234.2136,242.5976,226.9825
0.7475,-0.1253,65.7808,100.0643,6.7600,234.3170,242.7183,226.9902
0.7576,-0.0930,65.6604,101.5231,6.5715,234.4077,242.9093,227.0035
0.7677,0.0472,65.3440,102.8990,6.1465,234.4590,243.3167,227.0346
0.7778,0.1871,65.0623,104.1956,5.8843,234.5057,243.7498,227.0703
0.7879,0.3257,64.9009,105.2183,6.1843,234.5363,244.2722,227.1221
0.7980,0.4366,64.7849,106.1802,6.3563,234.5743,244.7605,227.1702
0.8081,0.4393,64.8460,106.9047,6.0291,234.6411,245.1165,227.2042
0.8182,0.4219,64.9162,107.6073,5.7926,234.7174,245.4496,227.2382
0.8283,0.3158,65.0267,108.2130,5.9596,234.8359,245.6808,227.2719
