phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-1.7692,79.8537,122.4216,7.4088,242.0254,240.9289,237.6965
0.0101,-1.7637,79.2833,121.7656,8.6636,242.2303,240.5776,237.3543
0.0202,-1.7582,78.7128,121.1095,9.9184,242.4352,240.2262,237.0120
0.0303,-0.9982,75.2749,120.4976,15.0632,241.1127,241.1436,234.7235
0.0404,-0.2224,71.7771,119.8865,20.2891,239.7584,242.0875,232.3944
0.0505,0.9566,67.8668,118.8847,30.1358,237.5765,243.4875,228.8503
0.0606,2.1527,63.9389,117.8662,40.1792,235.3594,244.9069,225.2546
0.0707,3.1683,62.2494,116.1042,48.3045,233.4831,244.9681,222.9873
0.0808,4.1721,60.7059,114.2936,56.3046,231.6289,244.9406,220.8066
0.0909,4.8161,60.7299,112.0492,63.2357,230.5223,243.2238,220.2227
0.1010,5.4281,60.8933,109.7663,70.0718,229.4821,241.3567,219.7808
0.1111,5.9446,61.5790,107.6092,75.9046,228.7945,238.9136,220.2923
0.1212,6.4502,62.3240,105.4665,81.6233,228.1471,236.4050,220.9123
0.1313,7.1328,62.6958,103.5243,83.9047,227.3986,234.4462,221.5192
0.1414,7.8400,63.0156,101.6100,85.7064,226.6361,232.5641,222.1244
0.1515,8.6923,62.9090,99.4355,88.0522,225.6640,231.2170,222.2896
0.1616,9.5687,62.7313,97.2175,90.4887,224.6571,229.9592,222.3814
0.1717,10.3748,62.3225,94.3887,93.2013,223.5158,228.9355,222.1354
0.1818,11.1671,61.8686,91.4406,95.9678,222.3482,227.9576,221.8235
0.1919,11.7892,60.9451,88.0668,98.6864,220.9904,227.2232,221.2074
0.2020,12.3730,59.9159,84.5972,101.3942,219.5898,226.5436,220.5229
0.2121,12.8714,58.6036,81.1626,105.0872,217.8057,226.2064,219.6111
0.2222,13.3478,57.2187,77.7369,109.0330,215.9233,225.9571,218.6410
0.2323,13.7875,56.2084,74.6254,112.2826,213.5982,225.5631,217.5330
0.2424,14.2166,55.3066,71.6049,115.3307,211.1449,225.1272,216.3851
0.2525,14.5246,54.7090,68.9627,117.5970,208.6886,224.0187,215.6221
0.2626,14.7932,54.2102,66.4432,119.6097,206.2313,222.6919,214.9840
0.2727,14.9040,53.8514,64.4248,119.3954,204.4989,220.7613,214.7580
0.2828,14.9579,53.5433,62.5875,118.3767,203.0283,218.6126,214.6808
0.2929,14.9211,53.5703,61.4691,115.8639,202.5778,217.1104,214.9089
0.3030,14.8480,53.7313,60.6383,112.7533,202.5353,215.8669,215.2592
0.3131,14.7197,53.7087,60.5387,104.2984,203.1864,216.2636,215.4339
0.3232,14.5671,53.6051,60.7618,93.4854,204.1434,217.3842,215.5311
0.3333,14.3541,52.8570,61.3431,82.8695,205.0959,219.9179,215.0484
0.3434,14.1119,51.7964,62.0982,72.3493,206.0462,223.1370,214.2844
0.3535,13.8183,50.5399,62.7138,67.5399,206.5749,226.6816,212.9930
0.3636,13.4974,49.1792,63.2553,65.7649,206.8796,230.3991,211.4213
0.3737,13.0862,48.1810,63.4983,66.3381,207.0383,232.5849,209.9342
0.3838,12.6225,47.3932,63.5679,68.2751,207.1122,233.8813,208.4961
0.3939,11.9539,47.0249,63.7188,68.5072,207.5454,234.2427,206.8255
0.4040,11.1555,46.9223,63.9213,67.6592,208.2062,234.0118,205.0077
0.4141,10.0975,46.8912,64.8314,62.9459,209.4055,234.0665,203.7750
0.4242,8.8606,46.9096,66.2296,55.5663,210.9763,234.3183,202.9460
0.4343,7.5139,46.9731,68.6609,46.2797,213.0366,235.4340,202.9542
0.4444,6.0849,47.0704,71.8671,35.5624,215.4640,237.1979,203.5903
0.4545,4.8322,47.8194,75.7735,25.0295,218.1278,239.1876,205.4971
0.4646,3.7232,49.0997,80.2506,14.6467,220.9843,241.3615,208.4393
0.4747,2.9742,51.5191,84.6182,8.1860,223.5916,242.6044,211.7772
