epi,trans,endo,pressure,time
248.0,244.50252067041686,237.21099019149455,5.02773722627737,0.0
245.3828610060339,241.54281053621457,235.2105827566011,28.6237449724415,0.0204081632653061
241.32755430613878,239.15059368620473,233.19597822079663,58.0293758379264,0.0408163265306122
237.51436252831238,237.56988446714257,231.17944546640956,79.180844648679,0.0612244897959184
235.10552787091203,235.55637998833822,230.26064710225268,92.9695071154212,0.0816326530612245
232.67521307821812,233.08606602445252,229.67383300795848,100.088049071611,0.102040816326531
230.01600344310762,228.8533047544367,229.28416980724924,106.452047133184,0.122448979591837
226.98349998477386,222.93601572300167,229.31918447566306,112.816045194757,0.142857142857143
223.86752204729783,218.0115842602474,229.06175440136937,116.655148238728,0.163265306122449
220.66178790383753,214.87044194275214,228.46592231719194,118.776480925919,0.183673469387755
217.4536452170572,211.04187017673536,227.74598601577057,120.89781361311,0.204081632653061
214.06104439954754,207.1948410993018,226.94994053001622,121.780853699698,0.224489795918367
210.86819325360358,206.31478739634997,225.57032998333528,119.659521012507,0.244897959183673
207.7875430120361,205.50194731500818,224.44084989464665,117.538188325316,0.26530612244898
204.13336504277095,204.65402794776267,223.28866547479961,115.416855638125,0.285714285714286
200.67738703321123,202.41539625498055,222.6151874855951,113.295522950934,0.306122448979592
200.0,202.0,221.8027030304219,110.069405342879,0.326530612244898
200.0,202.0,221.06978349265162,104.669649411847,0.346938775510204
200.0,202.0,220.66562820260867,98.956660936223,0.36734693877551
205.96415697960137,203.2505221427375,220.2491838105616,88.8109573598625,0.387755102040816
211.14534861212832,207.46518997095393,221.2634385276238,59.197742178347,0.408163265306122
217.88069390749757,207.87752437923916,223.0361455496812,28.9174872474143,0.428571428571429
223.66440249066733,211.20431603872194,224.9086994252801,8.36922815007129,0.448979591836735
227.85283032886863,213.5511165910514,227.20801319957704,3.93755506373561,0.469387755102041
231.88344440794245,216.2156557134833,229.80411478467823,3.50362888638249,0.489795918367347
234.53389961244324,220.87549584081248,231.27208023453898,3.06970270902938,0.510204081632653
236.7495570231406,225.510445134308,232.54963737418285,2.63577653167627,0.530612244897959
238.45902230159356,229.67100799523357,233.56547327554605,2.20185035432316,0.551020408163265
239.3705627315548,233.26365291086134,233.966855133692,1.76792417697005,0.571428571428571
239.90236827669642,235.74194856984118,233.9088070288513,1.46264449091798,0.591836734693878
240.33256659450075,237.35038238326268,233.6237749927009,1.32238552450081,0.612244897959184
240.6802085670669,238.61459938131833,233.39819612949663,1.18212655808365,0.63265306122449
241.06282042511162,239.5415188723369,233.4344795237222,1.04186759166649,0.653061224489796
241.40254231443123,240.237055441209,233.47500116327168,0.901608625249321,0.673469387755102
241.76623374871832,240.63751956381424,233.65540670672965,0.761349658832156,0.693877551020408
242.11367121575168,240.85450049347241,233.8849992459975,0.725895893108117,0.714285714285714
242.3232492562957,240.99987887840794,234.02165864066862,1.12837814456608,0.73469387755102
242.45066232876573,241.28097857741665,233.9935856062108,1.53086039602403,0.755102040816326
242.6135391343986,241.59274927005745,233.93635441728873,1.93334264748199,0.775510204081633
242.64054260101895,242.00424821412616,233.78866833270456,2.33582489893995,0.795918367346939
242.55755749590895,242.51348147756352,233.5967567268549,3.6968440765253,0.816326530612245
242.51694203693708,243.80075145121342,233.3005878152254,5.23969270711413,0.836734693877551
242.55274178064334,245.08747531662522,233.10281732502818,6.78254133770295,0.857142857142857
242.90868105908675,245.7080831578615,233.1914098738633,8.08613442695713,0.877551020408163
243.82436555123218,245.4646308054275,233.78200788308982,9.07796568947853,0.897959183673469
244.68294110746552,244.63475711838748,234.88321158460667,10.0697969519999,0.918367346938776
245.7897350791746,243.96123616863198,236.2704759197859,8.96226240614741,0.938775510204082
246.95263045103206,243.74637934327666,237.11908845885702,7.27915480914141,0.959183673469388
247.86650379929716,243.95946941390372,237.42681518720713,5.33304391621091,0.979591836734694
248.0,244.3224560624999,237.17541296678925,3.27591240875912,1.0
