phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-3.8230,74.3431,80.4872,25.0892,238.6987,233.2176,235.0018
0.0101,-2.8040,72.5842,79.7378,31.2286,237.6233,233.1880,233.6098
0.0202,-1.7850,70.8252,78.9884,37.3681,236.5480,233.1585,232.2178
0.0303,-0.2920,69.5446,78.1568,45.4515,235.0005,232.4472,230.9438
0.0404,1.2109,68.2739,77.3234,53.5754,233.4432,231.7216,229.6722
0.0505,2.4839,67.4514,76.0706,58.7063,232.0981,230.8772,229.0688
0.0606,3.7472,66.6480,74.8000,63.7098,230.7622,230.0278,228.4938
0.0707,4.5107,66.3165,72.6729,66.4943,229.8473,228.8783,228.2845
0.0808,5.2416,66.0157,70.4899,69.1340,228.9600,227.7093,228.0990
0.0909,5.5906,65.9823,67.5633,72.8875,228.3482,226.0027,228.1511
0.1010,5.9056,65.9727,64.5706,76.7400,227.7609,224.2483,228.2242
0.1111,6.1412,65.5047,61.5075,80.1773,227.1329,222.0394,228.2845
0.1212,6.3679,64.9846,58.4364,83.5675,226.5002,219.7790,228.3434
0.1313,6.7695,64.3000,55.9449,84.1498,225.6540,217.7247,228.2153
0.1414,7.1955,63.5924,53.5343,84.3403,224.7780,215.6993,228.0611
0.1515,7.8524,63.0564,51.8011,85.4495,223.7611,213.9233,227.7766
0.1616,8.5477,62.5490,50.1807,86.7119,222.7208,212.1889,227.4703
0.1717,9.3850,61.9399,48.9133,87.0895,221.6588,210.9329,226.9635
0.1818,10.2499,61.3110,47.7148,87.2943,220.5925,209.7702,226.4176
0.1919,11.1773,60.4658,46.6273,88.3926,219.4927,209.4019,225.7630
0.2020,12.1187,59.5719,45.5649,89.6918,218.3853,209.2124,225.0840
0.2121,13.0846,58.8431,44.6750,90.3131,217.2027,209.2910,224.5406
0.2222,14.0568,58.1566,43.8292,90.7606,216.0008,209.4383,224.0320
0.2323,14.9739,57.7294,43.2946,90.7624,214.7648,209.6924,223.5531
0.2424,15.8752,57.3772,42.8501,90.6352,213.5188,209.9774,223.0829
0.2525,16.5700,56.9243,42.6583,90.7166,212.2782,210.2984,222.6949
0.2626,17.1978,56.4388,42.5485,90.8656,211.0394,210.6309,222.3336
0.2727,17.4943,55.9695,42.4668,89.9728,209.7645,211.2415,221.8987
0.2828,17.6711,55.5060,42.3953,88.7037,208.4765,211.9525,221.4372
0.2929,17.5728,54.9886,42.2137,86.7710,207.1721,212.9590,220.7477
0.3030,17.3645,54.4496,41.9881,84.5728,205.8612,214.0837,219.9670
0.3131,17.1257,53.6644,41.7505,80.5509,204.7294,216.0013,218.9844
0.3232,16.8735,52.7704,41.5076,75.7242,203.6766,218.2688,217.9129
0.3333,16.7689,51.9194,41.4699,70.6412,203.0697,219.9781,217.1285
0.3434,16.7358,51.0892,41.5316,65.4339,202.6792,221.4167,216.4835
0.3535,16.7039,50.7843,41.8959,61.2031,202.9861,222.7268,216.0972
0.3636,16.6725,50.7584,42.4208,57.4911,203.6636,223.9688,215.8484
0.3737,16.2842,51.0836,43.1179,50.5118,205.1131,224.5920,216.1476
0.3838,15.6885,51.6126,43.9151,41.6349,207.0111,224.8558,216.7650
0.3939,14.5815,52.5120,44.6342,32.5569,209.4083,225.0280,217.7075
0.4040,13.1504,53.6461,45.3039,23.3515,212.1217,225.1421,218.8559
0.4141,11.4691,54.9474,45.7391,16.9962,214.7465,225.4303,220.0644
0.4242,9.6153,56.3643,46.0126,12.6067,217.3100,225.8387,221.3143
0.4343,7.9398,57.5373,46.1287,9.7899,219.3731,226.1731,222.1931
0.4444,6.3983,58.5276,46.1268,8.1528,221.0606,226.4521,222.7937
0.4545,5.2718,59.3685,46.2480,6.9932,222.3183,226.6031,223.3649
0.4646,4.4835,60.0876,46.4695,6.2227,223.2257,226.6500,223.9122
0.4747,4.0632,60.8049,47.1016,5.1405,223.9722,226.8118,224.4612
0.4848,3.9685,61.5205,48.0967,3.7824,224.5762,227.0753,225.0117
0.4949,4.0627,62.1961,49.5745,2.4133,225.1709,227.5098,225.5918
0.5051,4.3385,62.8334,51.5158,1.0336,225.7566,228.1084,226.2003
0.5152,4.6500,63.4792,53.7394,0.1527,226.3496,228.8688,226.7974
0.5253,4.9988,64.1340,56.2572,-0.2087,226.9504,229.7978,227.3826
0.5354,5.3047,64.7498,58.7444,-0.5916,227.5323,230.7998,227.9914
0.5455,5.5620,65.3218,61.1971,-0.9986,228.0930,231.8843,228.6269
0.5556,5.7664,65.7876,63.4163,-1.2604,228.5913,232.9650,229.2035
0.5657,5.9057,66.1233,65.3491,-1.3440,229.0129,234.0411,229.7079
0.5758,6.0198,66.4507,67.0422,-1.3307,229.3689,234.9468,230.0950
0.5859,6.1004,66.7671,68.4157,-1.1881,229.6376,235.6254,230.3258
0.5960,6.1648,66.9621,69.6489,-1.0547,229.8698,236.3942,230.5650
0.6061,6.2060,66.9809,70.6785,-0.9347,230.0492,237.2939,230.8167
0.6162,6.2059,66.9958,71.6421,-0.8338,230.2287,238.1132,231.0337
0.6263,6.1408,67.0044,72.5012,-0.7628,230.4084,238.8054,231.1958
0.6364,6.0224,67.0247,73.3153,-0.6215,230.5941,239.3664,231.3160
0.6465,5.8120,67.0650,74.0519,-0.3593,230.7903,239.7014,231.3643
0.6566,5.5839,67.0846,74.7650,-0.0564,230.9778,239.9611,231.3954
0.6667,5.3224,67.0654,75.4338,0.3231,231.1490,240.0792,231.3941
0.6768,5.0915,67.0438,76.1178,0.6497,231.3054,240.1748,231.3897
0.6869,4.9239,67.0170,76.8329,0.8672,231.4313,240.2240,231.3789
0.6970,4.7956,67.0260,77.5765,1.2882,231.5501,240.2316,231.3748
0.7071,4.7565,67.1158,78.3842,2.1706,231.6526,240.1450,231.3862
0.7172,4.7353,67.2590,79.1868,2.7787,231.7533,240.0519,231.4035
0.7273,4.7588,67.5358,79.9766,2.7011,231.8492,239.9428,231.4355
0.7374,4.7822,67.7558,80.7223,2.6662,231.9411,239.8630,231.4691
0.7475,4.8054,67.8185,81.3460,2.7497,232.0221,239.8641,231.5073
0.7576,4.8136,67.7988,81.9317,2.6564,232.1081,239.9493,231.5412
0.7677,4.7756,67.5257,82.4003,2.0180,232.2092,240.2935,231.5616
0.7778,4.7066,67.2697,82.8799,1.4907,232.3276,240.7363,231.5778
0.7879,4.5299,67.0730,83.3978,1.3476,232.5059,241.5194,231.5793
0.7980,4.3246,66.9359,83.9666,1.1456,232.7022,242.3222,231.5768
0.8081,4.0073,67.0317,84.7345,0.7141,232.9690,243.2023,231.5581
0.8182,3.6901,67.1579,85.5380,0.4967,233.2413,243.9820,231.5388
0.8283,3.3734,67.4194,86.4996,1.2306,233.5376,244.3161,231.5174
0.8384,3.0801,67.6712,87.4351,1.8364,233.8244,244.5944,231.5056
0.8485,2.9070,67.8730,88.2365,1.7854,234.0620,244.5871,231.5429
0.8586,2.7465,68.1181,88.9587,1.7749,234.2960,244.5311,231.6068
0.8687,2.6617,68.6228,89.2051,2.0066,234.5081,244.1826,231.8298
0.8788,2.5580,69.1969,89.3682,2.3022,234.7385,243.7710,232.1039
0.8889,2.3187,70.2687,88.9345,3.0559,235.1007,242.9071,232.7449
0.8990,2.0402,71.3725,88.4516,3.9300,235.4897,242.0089,233.3938
0.9091,1.4171,72.7576,87.5358,5.8628,236.1137,240.8093,234.1129
0.9192,0.7605,74.1361,86.6034,7.9056,236.7486,239.5722,234.8393
0.9293,-0.2729,75.4409,85.4841,11.1858,237.5058,237.9136,235.6470
0.9394,-1.3136,76.7160,84.3631,14.3438,238.2573,236.2575,236.4519
0.9495,-2.4645,77.5363,83.2163,15.6292,238.9207,234.6381,237.2127
0.9596,-3.5969,78.3181,82.0729,16.8821,239.5701,233.0665,237.9310
0.9697,-4.2956,78.1943,81.0104,17.3733,239.8899,232.6172,237.6523
0.9798,-4.9768,78.0456,79.9540,17.9108,240.1976,232.1858,237.3610
0.9899,-4.8234,76.7030,79.1913,20.6769,239.9224,232.6168,236.4709
1.0000,-4.6700,75.3603,78.4286,23.4430,239.6471,233.0478,235.5809
