phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-8.3269,73.5514,145.0817,9.0364,240.4788,247.5052,233.6250
0.0204,-8.3410,73.5359,144.9542,9.1495,240.8644,247.7631,233.8641
0.0408,-8.0748,73.8030,139.6605,9.2900,241.0766,248.0611,233.9031
0.0612,-8.2422,75.0231,127.3232,12.5054,240.7631,246.4233,233.7142
0.0816,-7.3000,74.9528,123.6117,26.0951,239.9012,241.3209,233.2328
0.1020,-5.2990,74.4406,119.4898,40.0025,238.7220,237.2181,232.8483
0.1224,-2.1242,73.0528,118.5855,50.7061,237.1090,234.2867,232.4927
0.1429,1.2356,71.4749,119.6916,58.9083,235.1099,232.6493,232.0478
0.1633,3.4802,69.6827,115.5392,66.8016,232.8218,231.8086,231.2870
0.1837,5.8380,67.6107,107.4874,76.7339,230.3387,231.2756,230.0563
0.2041,7.0007,65.1256,103.9119,88.5382,227.7553,230.5682,228.3095
0.2245,7.4401,62.6082,99.5812,95.8551,225.1724,229.4934,226.1660
0.2449,8.7749,60.2242,92.7237,103.0486,222.6394,228.1125,223.7759
0.2653,10.1068,58.4185,90.4079,109.4650,220.0080,226.7360,221.3238
0.2857,12.2048,56.4408,89.0807,114.5241,216.9591,225.6765,219.0219
0.3061,12.2386,55.1093,85.8970,118.7655,213.1220,224.9657,217.0300
0.3265,12.6389,54.6577,85.6245,121.1553,208.4689,224.3516,215.5750
0.3469,12.8943,54.3534,83.6399,122.0099,203.4689,223.4549,214.6504
0.3673,12.6680,54.3213,81.7874,122.5110,200.4574,222.2302,214.2216
0.3878,13.5429,54.7069,82.9111,122.4665,199.9008,221.0104,214.2362
0.4082,13.6912,55.3567,80.3926,120.0740,199.9211,220.5398,214.7504
0.4286,11.8475,56.7215,84.9937,106.5254,203.0608,221.2659,215.8493
0.4490,8.6331,58.6248,84.0187,81.8780,208.4096,223.1869,217.4397
0.4694,5.4920,60.6123,86.1652,58.1161,213.6817,225.5997,219.2451
0.4898,3.4417,62.3179,85.9657,42.2843,218.0054,227.6624,220.9831
0.5102,2.2891,63.7025,88.8306,32.2066,221.1224,229.0451,222.5995
0.5306,0.8749,65.0041,95.1885,23.9840,223.3891,230.2383,224.2232
0.5510,0.9402,65.5900,105.8728,16.5729,225.2991,231.9796,225.8868
0.5714,0.2652,66.3357,109.0667,11.2385,227.1713,234.6823,227.4628
0.5918,-0.4934,66.9034,115.6639,9.4320,229.0010,238.0036,228.6432
0.6122,-0.4502,66.8572,123.7912,9.1468,230.6374,241.5174,229.3037
0.6327,-1.1371,66.7713,128.0781,8.9636,231.9080,244.3372,229.4422
0.6531,-1.0187,66.7775,132.5827,9.0880,232.7972,246.3793,229.3283
0.6735,-1.9453,66.6981,132.0937,9.0144,233.3844,247.5253,229.1894
0.6939,-2.1239,67.1573,132.4475,9.0914,233.7906,247.9809,229.1770
0.7143,-2.1173,67.4818,133.0510,8.9579,234.1491,248.0045,229.3114
0.7347,-1.7908,67.9602,135.8093,9.0279,234.5174,248.0031,229.5235
0.7551,-2.9193,68.1642,138.1016,8.9702,234.8938,248.0031,229.7367
0.7755,-3.0130,68.1196,136.5111,8.9336,235.2917,248.0031,229.8912
0.7959,-2.8588,68.2082,138.8848,9.1140,235.6558,248.0021,229.9480
0.8163,-3.5797,68.0872,137.2269,9.1178,235.9164,248.0010,229.9052
0.8367,-3.6174,68.0580,139.7646,8.9823,236.0523,248.0009,229.7344
0.8571,-3.8368,68.1480,137.6364,9.1379,236.1157,247.9513,229.4898
0.8776,-3.9745,68.5727,139.4952,9.0528,236.2655,247.8184,229.3264
0.8980,-5.0808,69.0898,141.4498,8.9418,236.6327,247.7051,229.4324
0.9184,-6.6551,69.8240,144.0808,9.1047,237.2583,247.5820,229.9702
0.9388,-7.0071,71.4307,144.7760,9.0145,238.0878,247.4613,230.8884
0.9592,-7.9743,72.6466,141.4140,8.9031,238.9858,247.3707,231.9733
0.9796,-8.0157,73.3686,146.1194,8.9446,239.8135,247.3680,232.9584
1.0000,-7.9991,73.5758,145.7954,8.9678,240.3079,247.4469,233.4764
