phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-2.6904,70.1658,127.9907,-0.9557,241.1906,248.0000,233.7063
0.0204,-2.7322,69.5930,128.4958,-0.9841,241.0692,248.0000,233.3500
0.0408,-2.4942,69.0429,130.1761,-0.8809,240.7862,248.0000,232.8667
0.0612,-2.3419,68.4108,127.8442,-0.3681,240.2431,248.0000,232.1671
0.0816,-1.9548,67.3392,126.2147,1.9049,239.3575,248.0000,231.2448
0.1020,-0.7385,65.9429,124.1232,6.6162,237.9777,248.0220,229.8664
0.1224,1.8440,64.5261,118.0613,16.2342,235.9833,247.5401,228.0603
0.1429,3.1938,63.1074,111.9005,32.4643,233.3851,245.0158,225.9884
0.1633,4.8466,62.0028,107.8658,52.5579,230.4180,242.1066,224.0705
0.1837,6.7019,61.1407,102.8706,73.7777,227.3790,238.7986,222.1463
0.2041,8.5149,59.5551,100.1054,84.4656,224.4246,235.6746,220.3259
0.2245,8.9926,58.2101,92.4188,90.7058,221.3994,232.7082,218.3653
0.2449,10.8022,56.5542,87.7598,96.3784,217.9265,230.7236,216.9638
0.2653,12.7973,55.2056,80.5860,100.6698,213.7414,228.7859,215.8105
0.2857,13.6578,54.2861,77.3877,103.7704,209.1070,226.7409,215.0778
0.3061,13.2658,53.9303,74.8091,106.5697,204.8580,224.4509,214.6280
0.3265,12.6863,53.1917,71.9687,109.1039,202.0969,221.8455,214.2005
0.3469,11.8421,53.2666,67.0179,110.1493,201.5738,219.2555,213.6564
0.3673,10.8609,53.1224,66.5984,110.2506,203.2985,217.4814,213.1953
0.3878,10.3047,53.1159,64.7319,109.2924,206.5526,216.4805,213.0364
0.4082,8.9416,53.0149,63.8936,99.1712,210.3773,216.6331,213.7150
0.4286,7.4966,53.7808,65.6163,80.1450,214.1032,217.9435,215.2145
0.4490,5.8166,55.4768,68.7454,56.0739,217.4363,220.4305,217.5851
0.4694,5.2000,57.9384,73.1924,31.7668,220.4357,224.0095,220.5641
0.4898,4.1765,60.2485,79.8806,12.8427,223.1846,227.9540,223.3928
0.5102,2.9588,61.9311,83.9061,3.2628,225.7185,232.3222,225.9701
0.5306,2.4718,62.8921,87.5654,0.1722,227.9868,236.4281,227.8090
0.5510,2.4026,63.4687,99.5304,-0.5942,229.9054,239.8210,228.8150
0.5714,3.5160,64.1179,105.9331,-0.9685,231.4157,242.9290,229.2684
0.5918,2.9183,64.5166,106.4817,-1.0482,232.5233,244.9435,229.3332
0.6122,2.7039,64.5531,106.0969,-0.9498,233.2752,246.4295,229.2595
0.6327,1.8560,64.4167,108.3515,-0.9252,233.7735,247.1574,229.2056
0.6531,2.3665,64.4465,111.8494,-0.8390,234.1315,247.4951,229.2347
0.6735,1.9002,64.4857,111.4088,-0.8421,234.4478,247.6190,229.3485
0.6939,1.8197,64.4740,113.1127,-0.8667,234.7782,247.7483,229.5122
0.7143,1.5708,65.2327,111.9498,-0.9071,235.1332,247.9318,229.7288
0.7347,1.5328,65.1402,114.5191,-0.8372,235.4851,247.9939,229.8944
0.7551,1.5777,65.2697,114.8880,-0.8384,235.7801,248.0000,229.9670
0.7755,1.6788,65.4901,114.9369,-0.7928,235.9958,248.0000,229.8985
0.7959,0.4786,64.3580,111.9631,-0.9330,236.1521,248.0000,229.6874
0.8163,0.1228,65.1989,118.0972,-0.9087,236.3037,248.0000,229.4180
0.8367,-0.6564,64.9705,120.3193,-0.9242,236.5577,248.0000,229.2987
0.8571,-0.8931,65.5124,118.4553,-0.8131,237.0057,248.0000,229.5260
0.8776,-0.4561,66.2572,123.7323,-0.8894,237.6833,248.0000,230.2409
0.8980,-0.5701,67.3713,127.0191,-0.8924,238.5070,248.0000,231.3830
0.9184,-1.0186,68.5054,124.7786,-1.0083,239.3779,248.0000,232.5904
0.9388,-1.4274,69.4988,124.4491,-0.9490,240.1547,248.0000,233.2862
0.9592,-2.1499,70.0641,125.0451,-0.9048,240.8064,248.0000,233.6397
0.9796,-2.7110,70.0245,129.3159,-0.8230,241.3215,248.0000,233.6992
1.0000,-2.6862,70.1178,127.1545,-1.0211,241.2156,248.0000,233.7937
