phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-4.3764,70.3535,138.6111,5.1612,236.9883,248.0385,233.2525
0.0204,-4.4314,70.8528,127.4304,5.3323,236.9233,247.6629,233.4788
0.0408,-3.9376,70.6785,121.5876,8.8327,236.1570,244.1537,233.1664
0.0612,-2.8983,71.3700,115.2680,20.4220,235.1705,240.3839,232.7748
0.0816,-1.7347,71.1352,111.8099,36.3891,233.9122,236.2077,232.2359
0.1020,-0.0177,71.0847,108.6022,53.9832,232.4812,232.1691,231.6661
0.1224,1.9581,70.0652,106.1143,69.8986,230.9569,228.3139,231.0943
0.1429,3.7316,69.0449,101.5595,78.5671,229.2703,225.3680,230.5055
0.1633,5.7079,67.2548,98.4652,79.8546,227.3586,223.8866,229.8716
0.1837,7.6390,65.6090,96.8690,80.9349,225.2534,223.6553,228.9401
0.2041,8.1995,64.0145,95.7493,81.6314,223.1623,224.3705,227.5196
0.2245,8.7434,62.2642,92.8800,83.6804,221.2496,225.2694,225.8054
0.2449,9.2799,60.2286,88.0569,86.5379,219.4737,225.9957,223.6550
0.2653,10.0511,58.6130,85.3113,90.4314,217.4948,226.2633,221.4163
0.2857,11.3318,56.9617,84.6874,95.6542,214.8580,225.9319,219.4606
0.3061,12.1763,56.0353,84.7425,100.8839,211.4790,224.7299,218.0366
0.3265,12.4879,56.0382,80.3038,104.5067,208.1147,222.7568,217.4604
0.3469,12.4815,56.4200,77.9743,106.4628,206.1291,219.7104,217.6179
0.3673,11.8384,57.4732,80.9368,105.6311,206.6381,216.6571,218.5433
0.3878,9.6717,59.2575,79.8168,96.1272,209.4693,214.7369,220.0637
0.4082,9.2669,60.5025,81.3107,80.0755,213.0493,215.2125,222.1057
0.4286,10.1673,60.8642,84.2836,58.5731,215.5945,218.1329,223.6396
0.4490,10.6954,60.7123,87.5972,38.3349,216.5922,223.0940,224.5465
0.4694,9.8411,59.8610,91.2815,26.2457,216.9224,228.1400,224.6721
0.4898,7.1112,60.2953,88.4959,20.2827,217.7429,231.7095,224.4764
0.5102,4.5206,60.9625,90.5882,16.1302,219.4498,233.3962,224.5483
0.5306,3.0719,62.3112,95.1311,12.6578,221.6313,233.9159,225.2150
0.5510,1.6709,63.8153,99.4552,8.8635,223.7346,234.3919,226.3450
0.5714,1.2192,64.3202,106.6137,6.8935,225.5116,235.6565,227.6312
0.5918,0.6086,65.0550,111.9729,5.6387,227.0369,237.8587,228.7309
0.6122,-0.1838,64.9291,123.3651,5.1206,228.4334,240.5795,229.4364
0.6327,0.0957,64.4229,124.5043,5.1258,229.7236,243.2506,229.7186
0.6531,-0.0441,64.4340,127.0775,4.9935,230.7807,245.4762,229.6823
0.6735,-0.1170,64.4829,128.8814,4.9580,231.5414,246.9002,229.4963
0.6939,-0.6018,64.6604,129.0059,5.1726,232.0070,247.6431,229.3424
0.7143,0.0887,64.6329,130.9137,5.2157,232.2569,247.9211,229.2864
0.7347,-0.0619,65.2436,131.3182,5.2377,232.4174,247.9136,229.3786
0.7551,-0.0269,65.3242,129.9029,5.2377,232.5674,247.8121,229.5663
0.7755,0.0051,65.2502,132.0549,5.2927,232.7327,247.7804,229.7762
0.7959,0.1338,65.2720,129.6451,5.0981,232.8770,247.8496,229.8398
0.8163,-1.2273,65.1095,130.2447,5.2981,232.9532,247.9807,229.7305
0.8367,-0.8647,65.1594,129.2924,5.4321,232.9769,248.0000,229.4520
0.8571,-1.1455,65.2318,127.3895,5.4212,232.9968,247.9965,229.2101
0.8776,-0.8013,65.8788,129.2932,5.3993,233.1092,247.7786,229.2108
0.8980,-1.1553,67.0578,128.8821,5.2859,233.3863,247.4079,229.6227
0.9184,-2.1222,68.1522,129.3442,5.3281,233.8720,247.0958,230.4347
0.9388,-2.6546,69.0524,132.1437,5.1797,234.5335,247.0345,231.3338
0.9592,-3.5938,69.7269,136.6315,4.9943,235.3336,247.2716,232.1884
0.9796,-3.8629,70.3738,141.1896,5.0165,236.1884,247.7284,232.8081
1.0000,-4.1359,70.4046,139.1138,5.0519,236.8695,248.0010,233.1921
