phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-8.0376,71.9579,130.6924,-1.0755,246.3770,248.0000,233.5723
0.0204,-8.4845,71.7885,125.3942,-1.1205,246.4137,248.0000,233.2744
0.0408,-9.0664,71.5172,124.4884,-0.7533,246.3292,248.0000,232.6380
0.0612,-8.8904,70.7386,118.4013,0.6915,245.7804,248.0000,231.5710
0.0816,-7.2586,68.7808,121.1079,4.9417,244.4761,248.1423,230.0812
0.1020,-5.4987,67.0109,117.4268,16.6264,242.3697,246.6531,228.0428
0.1224,-3.7093,65.3738,112.0664,33.6531,239.7064,243.6062,225.9614
0.1429,-1.9319,64.5986,108.2011,51.2907,236.8590,241.0373,224.1220
0.1633,-0.2883,62.9777,105.6414,69.3673,234.0975,238.1922,222.0415
0.1837,1.8365,62.0484,99.5275,85.5285,231.4502,235.7274,220.6607
0.2041,3.4950,60.9771,92.6549,94.2471,228.7821,232.4635,219.4609
0.2245,5.0021,59.3775,87.8923,103.7492,225.9033,228.2401,218.4265
0.2449,6.7516,57.7269,82.2351,111.0276,222.7395,224.9221,217.7044
0.2653,8.4012,56.3098,72.2425,116.6403,219.3527,221.5417,216.8581
0.2857,10.0064,55.0492,65.7427,119.7902,216.0125,218.6290,215.9123
0.3061,10.5491,53.9556,64.1974,121.5297,213.1773,215.9175,214.8590
0.3265,9.3559,53.1765,60.7009,122.0780,211.4326,213.1774,213.8344
0.3469,9.0636,52.6617,59.2428,121.8493,211.1832,210.3766,213.0312
0.3673,7.9755,52.7151,59.4010,120.8574,212.4371,208.0587,212.7159
0.3878,5.2003,53.0512,57.1253,115.0422,214.7218,206.6929,213.0613
0.4082,2.9832,53.8179,61.3773,105.7785,217.4016,207.0418,213.9070
0.4286,0.5165,55.2231,60.4559,92.8035,220.0465,209.6944,215.3631
0.4490,-0.8193,56.6898,60.8500,68.4929,222.5833,214.4868,217.2889
0.4694,-1.5585,58.7001,63.0710,37.2559,225.0883,220.6401,219.5962
0.4898,-1.9595,60.3952,70.7523,14.3193,227.6557,226.7676,222.0672
0.5102,-3.0196,61.9956,77.7353,3.9214,230.2363,231.4439,224.2078
0.5306,-3.1288,63.6214,85.8017,0.2146,232.7214,235.1909,226.2466
0.5510,-3.6431,65.4233,93.7836,-0.5645,234.9656,237.7614,227.8525
0.5714,-4.2681,66.5693,97.4633,-0.9003,236.8107,239.7550,229.0366
0.5918,-4.6313,67.3433,100.7384,-1.2104,238.1651,241.0782,229.5441
0.6122,-3.7522,67.6805,106.6019,-1.2453,238.9871,242.5374,229.6883
0.6327,-4.0713,66.8132,109.8182,-1.2027,239.4173,243.9541,229.5653
0.6531,-3.3652,66.6618,106.7494,-1.1384,239.6465,245.1073,229.3821
0.6735,-3.7644,66.4712,114.9352,-1.0970,239.8837,245.8770,229.2817
0.6939,-4.3691,66.4847,113.4539,-1.0936,240.1974,246.3878,229.3075
0.7143,-4.4011,66.6374,117.7337,-1.0999,240.6024,246.8609,229.4445
0.7347,-4.4370,66.6031,119.9372,-1.0931,241.0547,247.3893,229.6338
0.7551,-5.0135,66.6536,121.4968,-1.0127,241.5383,247.9814,229.7468
0.7755,-6.0110,67.4195,118.5151,-0.8577,242.0535,248.0018,229.8236
0.7959,-6.4908,67.4572,119.4417,-1.0033,242.5848,248.0000,229.7961
0.8163,-7.1425,68.0875,121.6406,-1.1511,243.0914,248.0000,229.7371
0.8367,-7.3267,68.3145,118.7336,-1.2085,243.4885,248.0000,229.7066
0.8571,-6.8880,68.3811,121.8148,-0.9696,243.7166,248.0000,229.8345
0.8776,-7.3061,68.9572,120.2895,-0.9451,243.8402,248.0000,230.2097
0.8980,-7.3518,69.4583,117.7651,-0.9890,244.0429,248.0000,230.8199
0.9184,-7.0179,70.4165,120.3025,-0.9807,244.5702,248.0000,231.6633
0.9388,-7.9502,71.8330,123.0436,-1.0946,245.5492,248.0000,232.7667
0.9592,-7.3612,69.5576,128.1534,-1.0654,246.3937,248.0000,233.6047
0.9796,-8.5525,72.2584,131.9962,-0.8797,246.3875,248.0000,233.6450
1.0000,-8.1485,71.9249,129.7484,-1.0100,246.3645,248.0000,233.6052
