phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-0.8367,69.3243,120.1554,11.7510,239.1823,245.1729,232.7796
0.0101,-1.1763,69.4980,118.3648,16.7138,239.1319,244.0211,232.3754
0.0202,-1.5159,69.6718,116.5742,21.6765,239.0815,242.8692,231.9712
0.0303,-1.4201,69.2044,114.4251,28.0296,238.3725,241.6128,230.9457
0.0404,-1.3152,68.7237,112.2685,34.4116,237.6498,240.3542,229.9073
0.0505,-0.6710,67.6782,110.4095,39.6232,236.6070,239.7269,228.8414
0.0606,-0.0037,66.6088,108.5631,44.7851,235.5506,239.1264,227.7744
0.0707,0.9039,65.9299,107.1625,50.9528,234.5357,238.6636,227.0268
0.0808,1.8272,65.2765,105.7909,57.1861,233.5235,238.2098,226.3000
0.0909,2.6893,64.9203,104.7058,64.7031,232.5588,237.2768,225.6836
0.1010,3.5459,64.5904,103.6463,72.3342,231.5984,236.3012,225.0769
0.1111,4.2752,64.1914,102.5650,78.8965,230.5666,235.3024,224.6979
0.1212,4.9900,63.7845,101.4814,85.3374,229.5267,234.3009,224.3448
0.1313,5.6777,63.3180,100.0550,87.9340,228.3988,233.3855,223.9712
0.1414,6.3616,62.8431,98.5808,89.9942,227.2586,232.4822,223.5946
0.1515,7.1339,62.1962,96.5459,93.3047,226.0155,231.8425,223.2233
0.1616,7.9210,61.5207,94.4176,96.8236,224.7553,231.2469,222.8528
0.1717,8.8303,60.7970,91.7433,100.9996,223.2688,230.1802,222.3664
0.1818,9.7634,60.0639,88.9626,105.3038,221.7382,229.0216,221.8574
0.1919,10.7118,59.2650,85.9419,107.8230,219.7853,227.8653,221.3061
0.2020,11.6637,58.4513,82.8673,109.9406,217.7375,226.7095,220.7452
0.2121,12.4231,57.7645,80.0121,110.6758,215.2731,225.5975,220.0406
0.2222,13.1331,57.1101,77.2132,111.0566,212.7020,224.4967,219.2992
0.2323,13.4996,56.4652,75.0059,110.7730,209.9395,223.9429,218.5585
0.2424,13.7667,55.8229,72.9700,110.2970,207.1217,223.5476,217.8179
0.2525,13.7128,55.2163,71.6578,110.0350,204.7091,223.4801,217.1239
0.2626,13.5549,54.6212,70.5805,109.8425,202.4278,223.5190,216.4450
0.2727,13.2286,54.0972,70.1009,108.8781,201.1406,223.8911,215.6539
0.2828,12.8415,53.5989,69.8371,107.6351,200.2122,224.3835,214.8223
0.2929,12.4360,53.0419,69.8346,106.8932,199.9652,225.1564,213.6400
0.3030,12.0230,52.4614,69.9368,106.3518,199.9906,226.0416,212.3175
0.3131,11.6470,52.0776,69.8616,106.5583,199.9984,226.8441,210.4764
0.3232,11.2873,51.7807,69.7083,107.0947,199.9984,227.6103,208.4064
0.3333,10.9402,51.4972,69.0431,108.9630,199.9984,227.6276,206.3712
0.3434,10.5993,51.2202,68.1298,111.4772,199.9984,227.2817,204.3530
0.3535,10.2551,50.9869,66.7013,114.3013,199.9984,226.1419,203.0039
0.3636,9.9091,50.7768,64.9991,117.2902,199.9984,224.5803,202.0104
0.3737,9.6114,50.7855,63.1579,118.6274,199.9953,222.3096,202.2231
0.3838,9.3417,50.9213,61.2361,119.0054,199.9902,219.6272,203.1362
0.3939,9.1680,51.1139,59.6964,116.9328,200.8314,216.7556,204.9673
0.4040,9.0551,51.3425,58.3988,113.3078,202.2085,213.7641,207.3800
0.4141,8.9471,51.8587,57.7975,106.2436,204.1875,211.2145,210.0257
0.4242,8.8425,52.5733,57.6763,96.8070,206.5815,208.9697,212.8320
0.4343,8.5687,53.5739,58.2165,86.2722,209.1258,208.1544,215.3268
0.4444,8.1679,54.7893,59.2527,74.9138,211.7827,208.4114,217.5879
0.4545,7.5732,56.2615,60.7347,61.2614,214.4080,210.3864,219.8722
0.4646,6.8204,57.9432,62.5800,45.7396,217.0073,213.7615,222.1756
0.4747,6.0470,59.5100,64.7433,31.5335,219.4182,216.8553,223.7880
0.4848,5.2552,60.9750,67.1881,18.4915,221.6622,219.7001,224.7892
0.4949,4.6131,62.0648,69.9660,10.1575,223.6339,222.9159,225.7537
0.5051,4.1146,62.7945,73.0641,6.3438,225.3443,226.4883,226.6831
0.5152,3.7836,63.2583,76.4478,4.1897,226.8212,229.8553,227.5722
0.5253,3.6269,63.4452,80.1290,3.7639,228.0552,233.0087,228.4196
0.5354,3.5474,63.6350,83.8111,3.4794,229.1017,235.5408,229.1027
0.5455,3.5550,63.8279,87.4940,3.3547,229.9364,237.3708,229.6000
0.5556,3.5577,63.9722,90.7786,3.4472,230.6300,238.8119,229.9561
0.5657,3.5545,64.0566,93.5743,3.8060,231.1505,239.7760,230.1392
0.5758,3.5194,64.1110,95.7736,4.1152,231.5830,240.5011,230.2420
0.5859,3.4419,64.1253,97.1780,4.3582,231.8981,240.9076,230.2380
0.5960,3.3354,64.1376,98.1455,4.5563,232.1633,241.2215,230.2155
0.6061,3.1869,64.1470,98.4797,4.6893,232.3561,241.4011,230.1663
0.6162,3.0223,64.1549,98.7265,4.8258,232.5315,241.5754,230.1255
0.6263,2.8322,64.1606,98.8352,4.9678,232.6795,241.7412,230.0981
0.6364,2.6490,64.1637,99.0957,5.0193,232.8261,241.9196,230.0945
0.6465,2.4777,64.1626,99.6177,4.9151,232.9702,242.1197,230.1318
0.6566,2.3274,64.1620,100.2871,4.7801,233.1224,242.3254,230.1922
0.6667,2.2163,64.1625,101.2336,4.5871,233.2901,242.5416,230.2960
0.6768,2.1138,64.2257,102.1912,4.5945,233.4696,242.7391,230.3856
0.6869,2.0288,64.4182,103.1717,5.0154,233.6738,242.8978,230.4458
0.6970,1.9355,64.6291,104.0709,5.4765,233.8871,243.0586,230.4960
0.7071,1.8235,64.8819,104.7858,6.0287,234.1207,243.2242,230.5232
0.7172,1.7095,65.0657,105.4353,6.3926,234.3617,243.3612,230.5502
0.7273,1.5903,65.0773,105.9216,6.2857,234.6207,243.4265,230.5765
0.7374,1.4862,65.1054,106.4051,6.2555,234.8659,243.4850,230.5988
0.7475,1.4237,65.1792,106.8810,6.4376,235.0730,243.5243,230.6101
0.7576,1.3776,65.2245,107.3826,6.5060,235.2542,243.6756,230.5881
0.7677,1.3821,65.1821,107.9630,6.2241,235.3556,244.1725,230.4629
0.7778,1.3881,65.0708,108.5544,6.0305,235.4337,244.6835,230.3319
0.7879,1.3993,64.7217,109.1833,6.1419,235.4319,245.2434,230.1808
0.7980,1.4007,64.4031,109.8125,6.2819,235.4311,245.8179,230.0360
0.8081,1.3637,64.2033,110.4429,6.5335,235.4347,246.4490,229.9153
0.8182,1.3243,64.0349,111.0922,6.6923,235.4604,247.0122,229.8210
0.8283,1.2748,64.0059,111.8254,6.4386,235.5847,247.2736,229.8442
0.8384,1.2380,64.0136,112.5991,6.1811,235.7255,247.4765,229.9141
0.8485,1.2663,64.2096,113.5799,5.9042,235.9507,247.3802,230.2243
0.8586,1.3041,64.4837,114.5930,5.6429,236.1815,247.2486,230.5648
