phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-5.0529,75.0443,185.7869,0.4333,244.7198,247.9458,236.0984
0.0204,-4.6903,73.4508,180.9663,0.5821,245.5234,247.9859,236.1977
0.0408,-3.1947,70.9437,168.2595,1.2849,245.0952,247.3567,235.5758
0.0612,-0.5315,68.6790,164.1252,3.8191,243.1653,245.9263,234.1796
0.0816,1.7691,66.7704,157.5452,11.7782,240.1124,244.0091,232.2034
0.1020,3.7436,65.6231,148.6111,24.8889,236.6258,241.9573,230.3502
0.1224,5.7599,65.1805,146.1508,41.5656,233.3031,239.2851,228.7512
0.1429,8.2576,65.0574,134.5359,61.3557,230.3066,235.8209,227.7116
0.1633,9.9179,64.7365,128.6969,84.6771,227.4489,231.5402,227.1277
0.1837,11.8952,63.3067,122.3484,108.2736,224.4353,226.3213,226.6834
0.2041,13.5199,61.4090,114.3295,119.4035,221.0549,221.7257,226.2085
0.2245,15.3131,60.2451,111.7004,126.2989,217.2613,217.6045,225.5264
0.2449,15.4560,59.2472,106.6941,129.9694,213.0453,213.8790,224.5736
0.2653,15.2225,58.4853,102.5449,132.2662,208.4479,211.0823,223.5998
0.2857,14.7788,57.9331,98.5681,133.3593,203.6022,208.4686,222.4921
0.3061,14.2989,57.4657,98.0665,133.6298,200.1873,206.4310,221.5385
0.3265,13.7663,57.0832,97.4263,134.0280,199.9553,203.9471,220.3750
0.3469,12.8299,56.3863,96.0104,133.8834,199.9984,202.6085,219.5981
0.3673,12.7209,56.1488,96.5662,133.5578,199.9984,201.9862,218.8544
0.3878,13.0912,56.3807,97.3177,131.9576,199.8959,202.6678,218.4332
0.4082,12.8814,57.2671,96.1457,128.9199,200.6243,204.9995,218.5151
0.4286,10.3335,58.8392,102.0871,116.4714,204.5216,208.7531,219.3080
0.4490,6.7818,61.1771,106.1075,88.2298,210.7005,213.1492,220.8044
0.4694,4.5509,64.9551,108.8551,56.1616,216.7615,217.7912,223.0663
0.4898,2.4982,67.9457,121.2050,31.8816,222.1602,221.0721,225.1516
0.5102,2.1637,69.9655,129.6465,15.8832,226.5020,224.8146,227.8634
0.5306,0.9589,70.2878,136.9039,6.7962,229.7528,227.4128,229.5964
0.5510,0.3427,70.3030,137.7292,2.6233,232.0785,230.6381,231.2327
0.5714,0.0573,70.0614,141.6375,0.9238,233.6941,234.1281,232.2499
0.5918,-0.5510,69.1765,150.1317,0.6313,234.7840,236.9126,232.5795
0.6122,-0.9416,68.9683,150.1466,0.5075,235.5230,239.4192,232.5062
0.6327,-1.0690,68.7910,153.6599,0.6332,236.0426,240.9699,232.3146
0.6531,-1.6790,68.6800,153.7254,0.5511,236.4492,242.0628,232.1803
0.6735,-1.7805,69.1489,152.8924,0.7445,236.8186,242.6882,232.2143
0.6939,-1.3808,69.4546,161.6118,0.7998,237.1920,243.1986,232.4227
0.7143,-1.5727,69.4365,159.6501,0.8401,237.5775,243.4329,232.5741
0.7347,-1.8682,69.3808,161.0667,0.9458,237.9518,243.7071,232.7481
0.7551,-1.9250,69.5699,161.2334,0.8120,238.2965,244.0124,232.8569
0.7755,-2.0103,69.4174,162.2819,0.8261,238.5696,244.3981,232.8701
0.7959,-1.5433,68.5617,166.6847,0.8950,238.7405,245.1070,232.7745
0.8163,-0.9387,67.9425,173.5240,1.1917,238.8035,245.7667,232.6386
0.8367,-1.2188,67.5999,169.3533,1.3003,238.8020,246.7990,232.3879
0.8571,-1.0735,67.8461,173.2655,1.5416,238.8186,247.7574,232.1543
0.8776,-1.7704,68.7123,174.4940,1.2757,239.0054,247.9943,232.1369
0.8980,-2.3371,70.3592,174.5067,0.9814,239.4968,248.0019,232.5160
0.9184,-3.2201,72.1477,174.9246,0.7629,240.3474,247.9911,233.2523
0.9388,-3.2233,73.0025,177.8307,0.3540,241.4831,247.6225,234.3574
0.9592,-3.8362,73.6271,181.5241,0.4493,242.7816,247.1201,235.3142
0.9796,-4.9344,74.8485,182.3225,0.6245,243.0314,247.1879,235.5390
1.0000,-5.0876,75.2126,185.9172,0.4926,244.2921,247.8594,236.0194
