phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-4.4206,68.6238,113.9720,5.1323,238.1818,243.5094,231.4914
0.0101,-5.0816,68.8229,113.7854,5.5436,238.6929,243.7318,231.4513
0.0202,-5.7426,69.0220,113.5988,5.9549,239.2041,243.9543,231.4111
0.0303,-5.8383,68.9152,112.6054,5.7982,239.7345,244.4631,231.1880
0.0404,-5.9222,68.8021,111.5952,5.6298,240.2654,244.9780,230.9610
0.0505,-5.2013,67.9679,110.3805,6.2509,240.8725,245.1693,230.8963
0.0606,-4.4461,67.1031,109.1571,6.9055,241.4829,245.3469,230.8385
0.0707,-3.2581,65.8881,108.2576,10.7659,241.5282,244.5492,230.4375
0.0808,-2.0420,64.6502,107.3793,14.8353,241.5367,243.6880,230.0140
0.0909,-0.9038,63.9376,106.7798,19.3405,240.7829,242.7530,229.1789
0.1010,0.2275,63.2717,106.2050,23.8843,239.9613,241.8114,228.3073
0.1111,1.1271,63.0690,105.4808,27.6152,238.8249,241.5374,226.9609
0.1212,2.0004,62.9190,104.7397,31.2535,237.6528,241.3392,225.5606
0.1313,2.8108,62.6500,103.5125,35.2502,236.6575,241.2977,224.7850
0.1414,3.6124,62.3643,102.2176,39.2969,235.6869,241.2780,224.0966
0.1515,4.4890,61.8943,100.3416,46.5600,234.8117,240.9074,223.5198
0.1616,5.3782,61.3936,98.3687,54.3591,233.9523,240.4784,222.9616
0.1717,6.3316,60.6284,95.8234,63.2068,232.9099,239.1983,222.4462
0.1818,7.2976,59.8116,93.1665,72.2590,231.8317,237.7522,221.9391
0.1919,8.2609,58.9815,90.0373,77.8580,230.5165,236.5466,221.5864
0.2020,9.2236,58.1484,86.8018,82.6801,229.1479,235.3952,221.2684
0.2121,10.1008,57.3257,83.4287,85.6955,227.6568,234.3531,220.7417
0.2222,10.9560,56.5056,80.0202,88.2477,226.1342,233.3389,220.1615
0.2323,11.6343,55.5517,76.9915,92.6221,224.5340,232.5118,219.7080
0.2424,12.2615,54.5589,74.0727,97.5240,222.9112,231.7388,219.2913
0.2525,12.6813,53.8520,71.9026,101.1008,221.1463,230.1483,218.7431
0.2626,13.0340,53.2377,69.9754,104.2477,219.3353,228.2928,218.1523
0.2727,13.2527,52.8717,68.7642,105.5488,217.3177,226.8217,217.6141
0.2828,13.4230,52.5953,67.8117,106.1832,215.2254,225.4894,217.0949
0.2929,13.5465,52.4201,67.2363,105.9926,212.9683,224.4406,216.3777
0.3030,13.6514,52.2854,66.8119,105.4720,210.6453,223.5051,215.5814
0.3131,13.6997,52.1867,66.4108,104.8958,208.2563,223.0031,214.9548
0.3232,13.7230,52.1037,66.0201,104.2950,205.8383,222.6922,214.4030
0.3333,13.6277,52.0185,65.4837,103.9875,203.8412,222.4584,213.9426
0.3434,13.4750,51.9321,64.8766,103.8223,202.0481,222.2619,213.5264
0.3535,13.2152,51.7960,64.1651,103.3234,201.0110,222.1276,213.3202
0.3636,12.8984,51.6336,63.3981,102.6472,200.3755,222.0265,213.2255
0.3737,12.5750,51.4152,62.6988,102.5749,200.0980,221.9637,213.1797
0.3838,12.2477,51.1641,62.0388,102.8532,200.0285,221.9232,213.1624
0.3939,11.9938,51.0630,61.6114,103.4510,200.0016,221.8323,212.9410
0.4040,11.7865,51.0570,61.3314,104.2511,200.0016,221.7096,212.5904
0.4141,11.6067,51.2609,61.3117,104.9793,200.0016,221.3921,212.0406
0.4242,11.4458,51.6095,61.4717,105.6579,200.0016,220.9401,211.3536
0.4343,11.1684,52.0697,61.7641,105.4124,199.9737,220.2998,210.9470
0.4444,10.8036,52.6136,62.1559,104.4736,199.9249,219.5181,210.7510
0.4545,10.2532,53.2211,62.5412,103.0086,200.7375,218.7173,210.9369
0.4646,9.5517,53.8804,62.9213,101.1147,202.2522,217.9010,211.4342
0.4747,8.7591,54.7237,63.3291,97.2344,204.2290,217.3629,212.1445
0.4848,7.8859,55.7297,63.7614,91.5966,206.6146,217.0710,213.0434
0.4949,7.0631,56.8101,64.4426,84.7528,208.9182,217.0698,214.0222
0.5051,6.2885,57.9621,65.3627,76.7503,211.1433,217.3478,215.0779
0.5152,5.6335,58.8866,66.7258,66.5115,213.2426,217.8228,216.2235
0.5253,5.1030,59.5741,68.5502,53.9426,215.2112,218.5030,217.4628
0.5354,4.6978,60.1581,70.7459,42.2168,217.0620,219.6654,218.7991
0.5455,4.4343,60.6252,73.3611,31.4437,218.7796,221.3728,220.2449
0.5556,4.2607,61.0883,76.0198,22.2054,220.3688,223.1878,221.4827
0.5657,4.1974,61.5466,78.7316,14.8502,221.8003,225.1349,222.4652
0.5758,4.1484,61.9091,81.1763,9.3914,223.1362,227.1031,223.3795
0.5859,4.1186,62.1440,83.2647,6.4607,224.3446,229.0996,224.2030
0.5960,4.0419,62.2742,85.0365,4.5209,225.4725,231.1510,225.0272
0.6061,3.8972,62.2529,86.3494,4.0177,226.4838,233.2822,225.8525
0.6162,3.7161,62.2303,87.5218,3.7955,227.3920,235.0539,226.5093
0.6263,3.4776,62.2060,88.4727,4.0172,228.1375,236.2579,226.9003
0.6364,3.2485,62.1808,89.4435,4.1827,228.8012,237.3008,227.1839
0.6465,3.0354,62.1544,90.4487,4.2512,229.3240,238.0661,227.2827
0.6566,2.8403,62.1638,91.4776,4.3465,229.8052,238.7169,227.3300
0.6667,2.6792,62.2407,92.5510,4.4921,230.2082,239.1526,227.2805
0.6768,2.5130,62.3883,93.5643,4.6610,230.5886,239.5629,227.2323
0.6869,2.3366,62.6818,94.4534,4.8782,230.9222,239.9212,227.1869
0.6970,2.1585,62.9283,95.2408,5.1276,231.2439,240.2768,227.1592
0.7071,1.9767,63.0685,95.7974,5.4502,231.5390,240.6263,227.1719
0.7172,1.8197,63.2525,96.2774,5.6541,231.8262,240.9441,227.2034
0.7273,1.7251,63.5465,96.5663,5.5617,232.0940,241.1828,227.2819
0.7374,1.6579,63.7824,96.8104,5.5907,232.3527,241.3825,227.3801
0.7475,1.6665,63.8575,96.9309,5.9560,232.5864,241.4742,227.5324
0.7576,1.6820,63.8977,97.0203,6.3354,232.8114,241.5369,227.6703
