phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-1.0740,68.4997,103.9724,15.8695,235.8487,243.0314,229.6878
0.0101,-0.9716,68.7716,102.7922,18.9853,235.4750,241.8136,229.5881
0.0202,-0.8691,69.0434,101.6121,22.1012,235.1013,240.5958,229.4884
0.0303,-0.9380,69.3486,100.2835,26.5343,234.7186,239.5787,229.5285
0.0404,-1.0104,69.6544,98.9518,30.9949,234.3358,238.5657,229.5715
0.0505,-1.1306,69.9158,98.2335,35.1740,234.1586,237.4818,229.6169
0.0606,-1.2530,70.1752,97.5414,39.3411,233.9901,236.3950,229.6625
0.0707,-1.1465,70.1249,97.5137,44.2514,233.7904,235.3172,229.5116
0.0808,-1.0251,70.0543,97.5293,49.2102,233.5886,234.2400,229.3479
0.0909,-0.5717,69.4675,97.6886,54.2841,233.0846,233.4091,228.9601
0.1010,-0.0889,68.8347,97.8605,59.3683,232.5537,232.6001,228.5525
0.1111,0.6069,68.2182,97.4152,63.2136,231.7669,232.0557,227.8862
0.1212,1.3269,67.6035,96.8997,66.9180,230.9509,231.5414,227.1905
0.1313,2.0900,67.0043,95.3904,70.3880,230.1061,231.1871,226.5980
0.1414,2.8592,66.4072,93.7423,73.8254,229.2572,230.8551,226.0198
0.1515,3.5799,65.6986,91.4385,76.8515,228.3919,230.1963,225.5103
0.1616,4.2925,64.9714,89.0255,79.8090,227.5239,229.4830,225.0123
0.1717,4.9267,64.1992,86.6682,82.2433,226.5162,228.8143,224.6260
0.1818,5.5456,63.4182,84.3217,84.5756,225.4813,228.1543,224.2614
0.1919,6.0874,62.5871,82.4300,86.4103,224.3173,227.4023,223.7352
0.2020,6.6118,61.7448,80.6405,88.1330,223.1242,226.6296,223.1725
0.2121,7.1234,61.0716,79.0732,90.0536,221.8857,226.0616,222.4918
0.2222,7.6318,60.4417,77.5628,92.0249,220.6355,225.5461,221.7808
0.2323,8.2123,59.6458,75.7526,94.1720,219.3511,224.9952,220.9425
0.2424,8.8138,58.8018,73.8557,96.3699,218.0567,224.4341,220.0673
0.2525,9.4514,57.7740,71.4591,98.8421,216.5886,223.7907,219.1192
0.2626,10.1008,56.6865,68.9004,101.4033,215.0640,223.1206,218.1474
0.2727,10.6272,55.6752,66.2051,103.2163,213.2036,222.5618,217.2958
0.2828,11.1092,54.6915,63.4603,104.7590,211.2219,222.0432,216.4876
0.2929,11.3921,53.8592,61.2049,104.8817,209.0040,221.5719,215.6329
0.3030,11.5953,53.0876,59.1452,104.4363,206.6916,221.1195,214.7596
0.3131,11.6992,52.6428,57.9571,103.5800,204.6298,220.7555,214.1194
0.3232,11.7593,52.3423,57.1536,102.5423,202.6786,220.4305,213.5819
0.3333,11.7919,52.3288,57.1114,100.7813,201.6464,220.2473,213.4260
0.3434,11.8112,52.4544,57.4385,98.6696,201.0597,220.1330,213.4551
0.3535,11.6660,52.8154,58.1072,92.2306,201.7126,220.4067,213.8760
0.3636,11.4333,53.3013,58.9574,83.4923,203.0242,220.8866,214.5051
0.3737,10.8416,53.7409,59.8000,71.0820,205.1620,221.7861,215.1399
0.3838,10.0413,54.1537,60.6382,56.5391,207.7795,222.9292,215.7780
0.3939,8.9149,54.4019,61.3899,44.7616,210.4707,224.4903,216.2639
0.4040,7.5818,54.5458,62.0868,34.7358,213.2085,226.3163,216.6534
0.4141,6.1753,54.5722,62.7801,27.5487,215.4898,228.1738,216.8536
0.4242,4.7181,54.5176,63.4709,22.3196,217.4561,230.0531,216.9233
0.4343,3.4097,54.6231,64.1963,18.8517,219.0053,231.3332,217.0039
0.4444,2.2129,54.8486,64.9477,16.7049,220.2415,232.1638,217.0927
0.4545,1.2472,55.2879,65.6768,14.8914,221.2931,232.5823,217.3745
0.4646,0.4698,55.9014,66.3878,13.3495,222.1943,232.6649,217.8137
0.4747,-0.0775,56.5470,67.0378,12.3968,223.0024,232.5148,218.3235
0.4848,-0.4211,57.2210,67.6336,11.9656,223.7281,232.1588,218.8958
0.4949,-0.5795,57.9607,68.2466,11.2050,224.3480,231.7901,219.6388
0.5051,-0.5602,58.7635,68.8761,10.1281,224.8664,231.4091,220.5458
0.5152,-0.4272,59.6610,69.6745,9.0439,225.3306,231.2053,221.5116
0.5253,-0.1758,60.6572,70.6488,7.9522,225.7386,231.1861,222.5388
0.5354,0.1034,61.5557,71.8821,6.9709,226.1591,231.3534,223.4711
0.5455,0.4139,62.3437,73.4081,6.1144,226.5939,231.7316,224.2962
0.5556,0.6741,62.9812,75.1246,5.4190,227.0476,232.4545,225.0859
0.5657,0.8728,63.4340,77.0748,4.9213,227.5245,233.6004,225.8322
0.5758,0.9900,63.7635,79.0247,4.3688,227.9950,234.6990,226.4178
0.5859,0.9988,63.9285,80.9740,3.7434,228.4569,235.7347,226.7890
0.5960,0.9490,63.9889,82.7569,3.5349,228.8909,236.5987,227.0701
0.6061,0.8146,63.8976,84.2986,3.9310,229.2846,237.2137,227.2206
0.6162,0.6634,63.8247,85.6565,4.1417,229.6474,237.9148,227.3348
0.6263,0.4860,63.7807,86.7247,4.0599,229.9611,238.7518,227.3918
0.6364,0.3329,63.7535,87.7149,4.0780,230.2537,239.4328,227.4136
0.6465,0.2217,63.7552,88.5710,4.2683,230.5097,239.8455,227.3749
0.6566,0.1528,63.7354,89.4320,4.3822,230.7567,240.2261,227.3453
0.6667,0.1634,63.6751,90.3023,4.3524,230.9869,240.5463,227.3329
0.6768,0.1840,63.6996,91.1423,4.4097,231.2130,240.8234,227.3388
0.6869,0.2252,63.8992,91.9199,4.6468,231.4310,241.0115,227.3823
0.6970,0.2295,64.1186,92.5800,5.0486,231.6399,241.1835,227.4394
0.7071,0.1506,64.3831,92.9737,5.8239,231.8281,241.3186,227.5273
0.7172,0.0370,64.5843,93.2495,6.2670,232.0119,241.4488,227.6162
0.7273,-0.1630,64.6275,93.2304,5.8799,232.1846,241.5666,227.7081
0.7374,-0.3500,64.7060,93.2191,5.6153,232.3576,241.6901,227.7920
0.7475,-0.5006,64.8821,93.2295,5.6896,232.5314,241.8292,227.8538
0.7576,-0.6086,65.0132,93.3876,5.7218,232.7093,242.0045,227.9074
0.7677,-0.5852,65.0050,94.0007,5.6239,232.9000,242.2918,227.9360
0.7778,-0.5404,64.9563,94.7865,5.5378,233.0877,242.6191,227.9528
0.7879,-0.4219,64.7676,96.1686,5.4924,233.2649,243.0850,227.9289
0.7980,-0.3233,64.6019,97.6235,5.5238,233.4339,243.5750,227.8955
0.8081,-0.3025,64.5263,99.3620,5.8546,233.5712,244.1593,227.8249
0.8182,-0.3172,64.4341,101.0524,6.0919,233.7061,244.7721,227.7451
0.8283,-0.4900,64.2679,102.5293,5.9135,233.8306,245.5117,227.6239
0.8384,-0.6799,64.1242,103.9131,5.7861,233.9630,246.2062,227.5085
0.8485,-0.9583,64.0950,104.8196,5.9194,234.1358,246.6698,227.4229
0.8586,-1.2286,64.1000,105.6641,6.0357,234.3219,247.0746,227.3546
0.8687,-1.4509,64.3105,106.1364,6.0505,234.5884,247.1269,227.3906
0.8788,-1.6581,64.5575,106.5921,6.0287,234.8621,247.1531,227.4593
0.8889,-1.7567,65.0657,106.9289,5.7457,235.1873,246.9925,227.7623
0.8990,-1.8496,65.5838,107.2664,5.5047,235.5134,246.8329,228.0641
0.9091,-1.8924,66.1884,107.6104,5.6347,235.8465,246.6806,228.3561
0.9192,-1.9358,66.7902,107.9475,5.7481,236.1752,246.5242,228.6607
0.9293,-1.9860,67.3594,108.2062,5.6764,236.4551,246.3199,229.1075
0.9394,-2.0323,67.9121,108.4460,5.6328,236.7252,246.1091,229.5444
0.9495,-2.0202,68.2125,108.3964,6.0207,236.8454,245.7981,229.8285
