phase,twist,height,volume,pressure,epi,trans,endo
0.0000,0.3469,69.0651,145.8726,13.1495,235.2174,243.8792,233.4544
0.0204,0.2425,69.2276,133.4948,26.9113,233.6756,238.6850,232.1732
0.0408,-0.4626,68.9853,122.1200,44.9446,232.1742,234.5514,230.9210
0.0612,-0.7559,68.3158,112.7700,60.8591,230.7081,230.9762,229.5032
0.0816,0.0043,67.4762,108.4518,76.0057,229.3430,228.1390,228.1850
0.1020,1.6035,66.3432,103.6061,87.8873,227.9796,225.0244,227.0552
0.1224,1.3392,65.3064,95.4781,94.6928,226.4267,220.5145,226.2599
0.1429,3.0022,64.3768,92.1692,98.5261,224.5297,215.6469,225.8947
0.1633,6.1217,63.3027,84.5283,100.4579,222.3141,210.1991,225.6641
0.1837,8.5533,62.1935,83.5845,102.6508,219.8800,205.7592,225.2739
0.2041,10.7896,61.3756,85.7659,105.4575,217.2444,204.4124,224.5940
0.2245,12.0279,59.8854,85.0283,108.3904,214.2115,205.4190,223.4508
0.2449,13.7563,58.3652,83.1348,110.2184,210.4467,208.2068,221.7873
0.2653,14.7607,56.7376,80.5932,110.7198,205.9083,211.2203,219.9917
0.2857,13.8590,55.7745,77.7834,110.4811,201.1990,213.8686,217.9902
0.3061,13.2351,55.0691,76.0594,110.4549,200.0281,215.5758,216.1341
0.3265,12.8334,54.2994,75.4813,109.0367,199.9920,216.5869,214.8633
0.3469,12.3194,54.1849,75.7196,102.2684,199.9892,217.8902,214.3201
0.3673,13.2236,53.5886,78.5278,86.2576,200.3588,220.2551,214.8995
0.3878,14.2560,54.3017,82.7578,65.1836,203.1524,223.5740,216.7802
0.4082,16.5291,55.3382,84.6393,44.8678,205.9393,227.2072,219.7416
0.4286,17.3265,56.6477,87.3921,29.7565,208.8611,229.6113,222.5473
0.4490,16.5121,58.4709,92.2193,21.4905,212.2439,230.9353,225.1308
0.4694,13.8372,60.3946,93.7754,16.6141,215.9394,231.2415,226.8336
0.4898,10.8566,62.1139,93.8687,14.0026,219.3691,231.2149,227.8692
0.5102,8.5990,63.8286,93.5276,11.8105,221.9445,231.4928,228.4627
0.5306,7.2173,64.6560,96.0655,9.8796,223.4658,232.2985,228.9271
0.5510,6.8279,65.0327,98.8558,8.6756,224.2075,233.5323,229.4989
0.5714,6.6798,64.6491,103.6300,7.7682,224.6338,235.1038,230.2407
0.5918,6.9716,65.2713,106.1842,6.9208,225.1595,236.7732,230.9924
0.6122,6.3675,65.3425,108.0849,6.9583,225.9991,238.2567,231.4674
0.6327,6.1509,65.1728,115.1942,6.7003,227.0935,239.8121,231.6714
0.6531,5.3343,65.0470,123.8092,6.5075,228.2501,241.4692,231.5547
0.6735,4.5854,65.3009,128.7542,6.5112,229.2775,242.8020,231.2483
0.6939,4.0819,65.1494,132.0835,6.5019,230.0696,243.6636,230.9613
0.7143,3.3242,65.5862,134.7423,6.6381,230.6256,244.1465,230.8122
0.7347,3.3097,66.1661,134.0317,6.4916,231.0386,244.4057,230.8436
0.7551,3.0055,65.9522,135.1346,6.5210,231.4025,244.7181,230.9263
0.7755,2.6281,66.1091,138.8205,6.5249,231.7133,245.2574,230.8445
0.7959,2.3795,65.5837,133.6368,6.4849,231.8912,245.9645,230.4486
0.8163,2.6588,64.8270,136.0025,6.8256,231.8800,246.6107,229.7712
0.8367,1.6672,64.4497,135.6774,7.1558,231.7251,246.7956,229.2678
0.8571,2.1557,64.3189,135.5503,7.2432,231.5941,246.4326,229.2262
0.8776,2.4692,65.1140,131.5674,7.3279,231.6540,245.6102,229.8801
0.8980,3.1767,66.6089,137.6702,7.0174,232.0386,244.7040,231.1795
0.9184,2.9560,67.3833,139.5113,6.9022,232.7898,244.3880,232.5245
0.9388,1.9349,68.2769,142.2688,6.6454,233.8899,244.9876,233.4940
0.9592,1.2109,69.2161,145.5477,6.3869,235.3313,246.5655,234.0445
0.9796,0.7041,69.2147,152.8189,6.3067,236.0951,247.9055,234.3550
1.0000,0.7164,69.1063,148.9531,10.1128,235.6070,246.2333,233.9969
