phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-2.8073,70.1049,125.6616,5.9645,235.8685,247.8771,233.8052
0.0204,-2.7971,70.0211,119.4012,6.9113,235.6291,246.6941,233.6759
0.0408,-2.3153,69.8475,114.3446,17.9252,234.4341,241.7754,232.6127
0.0612,-0.7762,68.7778,110.6295,35.5742,233.0568,236.8916,231.5452
0.0816,0.9173,68.1316,103.3803,54.4577,231.4458,232.6445,230.5873
0.1020,3.0714,67.2865,98.2660,71.5488,229.7366,228.8515,229.7129
0.1224,5.5439,66.3694,92.1499,80.2519,228.0164,225.6046,229.0026
0.1429,7.7006,64.7457,91.1527,84.9730,226.2001,222.6576,228.4570
0.1633,8.8610,63.3893,91.9325,89.1437,224.1408,220.0122,227.9680
0.1837,10.3105,62.1065,93.0826,91.5759,221.8113,218.0519,227.3568
0.2041,11.2081,60.4929,90.3032,93.4811,219.3423,217.2395,226.4105
0.2245,11.0815,58.9646,88.0026,95.1648,216.9777,217.7568,225.0064
0.2449,11.7416,57.0163,85.7634,95.4140,214.8264,219.5092,222.8814
0.2653,12.1311,55.9234,85.5578,95.4686,212.7616,221.0388,221.0687
0.2857,12.4987,54.8377,82.1924,96.7396,210.3469,222.3095,219.0677
0.3061,12.7466,54.9011,81.2077,98.6332,207.3920,222.6905,217.4213
0.3265,13.1433,54.8921,81.2484,99.2971,204.2205,222.1483,216.2873
0.3469,13.8871,55.5039,80.3589,99.4883,201.7167,221.4935,216.0157
0.3673,15.1376,56.5438,82.0955,97.9334,200.8624,221.2121,216.4893
0.3878,13.7434,57.8081,87.2679,88.4152,202.2640,221.8814,217.6563
0.4082,11.7606,59.5842,88.3803,69.7964,205.6668,223.5475,219.5408
0.4286,10.5868,61.1100,89.1319,48.9465,209.9976,225.6246,221.7451
0.4490,9.0539,62.0535,89.9997,34.1235,214.0735,227.5468,223.7694
0.4694,7.2725,62.3577,89.1855,25.4951,217.1476,229.0993,225.2066
0.4898,5.9890,62.9889,91.4538,20.8849,219.1458,230.4241,225.9823
0.5102,5.0211,62.9857,95.3989,16.7737,220.4615,231.6629,226.3479
0.5306,4.1690,63.5767,97.2311,13.6902,221.5714,232.8575,226.7182
0.5510,3.4781,64.2487,102.2879,10.5994,222.7432,234.0594,227.3553
0.5714,2.8684,65.0273,105.5783,8.6582,224.0254,235.3750,228.2879
0.5918,1.6957,65.2891,113.7978,7.2518,225.3892,237.0114,229.3480
0.6122,0.3724,65.7172,123.2688,6.3542,226.7983,238.9066,230.1903
0.6327,0.8186,65.4593,129.2006,6.1549,228.1860,241.0675,230.6959
0.6531,1.1808,65.6834,129.5633,6.0851,229.4346,243.1750,230.8324
0.6735,0.5624,65.7325,130.1593,6.1400,230.4316,244.8806,230.6980
0.6939,0.1547,65.8233,130.1594,6.0599,231.1205,245.9838,230.4577
0.7143,0.4856,65.8058,132.5581,6.1600,231.5463,246.5162,230.2647
0.7347,0.4072,66.0901,133.6530,6.2056,231.8011,246.6729,230.2013
0.7551,0.5893,66.1221,133.9190,6.0549,231.9609,246.6940,230.2644
0.7755,0.6149,65.9105,131.3697,6.2004,232.0555,246.7624,230.3844
0.7959,0.4907,65.6987,133.1428,6.2528,232.0977,246.9829,230.4202
0.8163,0.7238,65.0719,132.1740,6.2724,232.0732,247.3082,230.2582
0.8367,0.9305,65.0720,132.5373,6.3630,232.0330,247.6324,229.9204
0.8571,0.8358,65.8351,134.4543,6.4811,232.0222,247.8058,229.5806
0.8776,0.4394,66.7237,132.9997,6.5696,232.1076,247.6718,229.5056
0.8980,1.0240,67.4020,131.1070,6.5993,232.3352,247.3229,229.8806
0.9184,-0.7140,68.6007,131.1040,6.3099,232.7476,246.8547,230.7405
0.9388,-1.4539,69.1047,138.1342,6.4274,233.3382,246.5434,231.7702
0.9592,-2.0565,69.7752,143.1660,6.2636,234.1048,246.6353,232.7758
0.9796,-1.8395,69.7420,141.1858,6.0808,235.0043,247.1117,233.3611
1.0000,-2.7762,70.0508,128.5658,6.2034,235.7414,247.6937,233.6906
