phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-3.1578,70.8969,95.4833,5.4761,238.7936,247.9375,232.2362
0.0101,-2.7491,70.0721,95.8110,8.8008,238.3481,247.8239,231.2051
0.0202,-2.3405,69.2472,96.1387,12.1255,237.9026,247.7103,230.1740
0.0303,-1.3233,68.2851,97.1584,16.5845,237.0175,247.2637,229.0651
0.0404,-0.2935,67.3202,98.1925,21.0672,236.1232,246.8102,227.9546
0.0505,0.8862,66.5759,99.3807,25.0265,235.1032,246.3315,227.1834
0.0606,2.0723,65.8411,100.5755,28.9635,234.0779,245.8517,226.4266
0.0707,3.0116,65.4273,101.0006,32.7310,233.2777,245.3404,226.0297
0.0808,3.9348,65.0344,101.3755,36.4874,232.4921,244.8270,225.6562
0.0909,4.5705,65.1409,100.3589,42.6616,231.8636,243.7965,225.5106
0.1010,5.1807,65.2918,99.2186,49.0507,231.2492,242.7200,225.3853
0.1111,5.7257,65.3758,96.7635,54.4327,230.5608,241.0850,225.3451
0.1212,6.2633,65.4522,94.1589,59.7001,229.8641,239.3867,225.3145
0.1313,6.9120,65.4577,90.8109,63.2578,228.9807,237.5296,225.2030
0.1414,7.5761,65.4532,87.3591,66.5769,228.0713,235.6504,225.0800
0.1515,8.3138,65.2301,83.7908,68.3216,227.0455,233.9582,224.8202
0.1616,9.0636,64.9707,80.2032,69.8038,226.0004,232.2971,224.5375
0.1717,9.7743,64.2403,76.9617,70.4360,224.9428,231.1069,224.0571
0.1818,10.4774,63.4181,73.7878,70.9022,223.8829,230.0086,223.5381
0.1919,11.1764,62.4209,71.2650,71.4005,222.7966,229.5535,222.9021
0.2020,11.8746,61.3844,68.8888,71.9059,221.7045,229.2430,222.2398
0.2121,12.6881,60.5174,67.2755,73.0016,220.5203,229.2624,221.6174
0.2222,13.5311,59.6938,65.8578,74.2486,219.3126,229.3662,221.0052
0.2323,14.4694,59.0395,65.0221,74.9584,218.0167,229.4595,220.4676
0.2424,15.4354,58.4342,64.3548,75.5127,216.6953,229.5497,219.9516
0.2525,16.3423,57.8189,63.8681,76.2997,215.3266,229.4903,219.5466
0.2626,17.2301,57.2004,63.4398,77.1621,213.9426,229.3824,219.1776
0.2727,17.9145,56.6140,62.8547,77.3460,212.5614,229.1798,218.8499
0.2828,18.5254,56.0391,62.2129,77.2848,211.1813,228.9430,218.5370
0.2929,18.8730,55.5381,61.3904,77.0838,209.9313,228.9426,218.1212
0.3030,19.1154,55.0665,60.4956,76.8270,208.7334,229.0368,217.6642
0.3131,19.1389,54.5887,59.6804,76.0078,207.8551,229.4672,217.1372
0.3232,19.0659,54.1080,58.9004,74.9405,207.1178,230.0461,216.5794
0.3333,18.8572,53.7311,58.4882,74.0082,206.8570,230.5838,216.1257
0.3434,18.5827,53.4044,58.2544,73.1414,206.8273,231.1016,215.7226
0.3535,18.1709,53.2645,58.4652,70.4778,207.3372,231.4442,215.5335
0.3636,17.6860,53.2238,58.9124,66.8594,208.1337,231.6938,215.4581
0.3737,16.9892,53.4890,59.6251,60.4975,209.4447,231.7758,215.7361
0.3838,16.1693,53.9320,60.4919,52.5423,211.0545,231.7607,216.2192
0.3939,15.1252,54.6290,61.3295,43.8096,212.9071,231.8157,216.9600
0.4040,13.9392,55.4871,62.1486,34.5845,214.9135,231.9152,217.8641
0.4141,12.6420,56.3775,62.7360,26.8970,216.8337,232.2216,218.7808
0.4242,11.2681,57.2902,63.1637,20.2701,218.6945,232.6707,219.7063
0.4343,9.9585,58.1659,63.4014,15.7774,220.2663,233.1259,220.4847
0.4444,8.6970,59.0137,63.4966,12.8856,221.6214,233.5858,221.1526
0.4545,7.6199,59.6977,63.6853,9.9809,222.7714,233.9909,221.8010
0.4646,6.6929,60.2480,63.9501,7.0658,223.7544,234.3513,222.4335
0.4747,5.9307,60.8057,64.6371,4.4397,224.6799,234.8104,223.1011
0.4848,5.3143,61.3699,65.6975,2.0695,225.5546,235.3566,223.7998
0.4949,4.7726,61.9442,67.2935,0.6530,226.4238,236.0770,224.4781
0.5051,4.3027,62.5281,69.4041,0.1525,227.2877,236.9646,225.1370
0.5152,3.8781,63.0530,71.8507,-0.1768,228.1048,237.9865,225.7607
0.5253,3.5006,63.5165,74.6475,-0.3278,228.8732,239.1484,226.3479
0.5354,3.1996,63.9160,77.4312,-0.4319,229.5644,240.3676,226.9067
0.5455,2.9849,64.2432,80.2003,-0.4830,230.1682,241.6515,227.4336
0.5556,2.8666,64.5354,82.7217,-0.4642,230.6791,242.8481,227.8737
0.5657,2.8666,64.7848,84.9394,-0.3596,231.0761,243.9375,228.2075
0.5758,2.9488,64.9224,86.8883,-0.2306,231.3977,244.9004,228.4654
0.5859,3.1404,64.9110,88.4791,-0.0692,231.6188,245.6949,228.6221
0.5960,3.3450,64.7924,89.8742,0.0421,231.8079,246.4324,228.7702
0.6061,3.5686,64.5185,90.9855,0.0807,231.9507,247.0875,228.9057
0.6162,3.7069,64.4154,91.9342,0.4241,232.0970,247.5867,229.0337
0.6263,3.7107,64.5816,92.6263,1.2488,232.2489,247.8398,229.1500
0.6364,3.6156,64.7873,93.1597,1.6842,232.4060,248.0000,229.2450
0.6465,3.3499,65.0608,93.4200,1.4495,232.5721,248.0000,229.3036
0.6566,3.0761,65.2662,93.5695,1.4859,232.7285,248.0000,229.3521
0.6667,2.7872,65.3435,93.5106,2.0325,232.8666,248.0000,229.3818
0.6768,2.5661,65.4789,93.4244,2.4287,232.9938,248.0000,229.4097
0.6869,2.4846,65.7340,93.2822,2.5144,233.0983,248.0000,229.4340
0.6970,2.4595,65.9296,93.1616,2.6289,233.1972,247.9912,229.4561
0.7071,2.5621,65.9906,93.0901,2.8089,233.2829,247.9624,229.4731
0.7172,2.6638,66.0471,93.0328,3.0061,233.3672,247.8964,229.4959
0.7273,2.7629,66.0920,93.0109,3.2463,233.4476,247.7370,229.5331
0.7374,2.8238,66.1970,92.9865,3.3596,233.5298,247.5868,229.5748
0.7475,2.7788,66.4682,92.9553,3.1216,233.6165,247.4619,229.6286
0.7576,2.6995,66.6996,92.9296,2.9790,233.7067,247.3878,229.6859
0.7677,2.5144,66.8081,92.9211,3.1308,233.8071,247.4704,229.7538
0.7778,2.3255,66.8937,92.9342,3.2734,233.9142,247.5876,229.8148
0.7879,2.1229,66.9007,93.0222,3.3841,234.0445,247.8244,229.8519
0.7980,1.9431,66.9098,93.1305,3.4339,234.1759,248.0116,229.8763
0.8081,1.8525,66.9267,93.3186,3.2466,234.3117,248.0052,229.8510
0.8182,1.7849,66.9374,93.5133,3.1581,234.4412,248.0000,229.8133
0.8283,1.8196,66.9200,93.7376,3.5081,234.5427,248.0000,229.7209
0.8384,1.8589,66.9063,93.9595,3.8687,234.6319,248.0000,229.6326
0.8485,1.9225,66.9118,94.1700,4.2836,234.6572,248.0000,229.5655
0.8586,1.9762,66.9294,94.3752,4.5495,234.6815,248.0000,229.5291
0.8687,1.9712,67.0190,94.5492,3.9213,234.6997,248.0000,229.6768
0.8788,1.9504,67.1501,94.7138,3.3007,234.7361,248.0000,229.8541
0.8889,1.8156,67.5787,94.8114,2.7349,234.9028,248.0000,230.2436
0.8990,1.6620,68.0218,94.8985,2.1611,235.0912,248.0011,230.6495
0.9091,1.3424,68.5930,94.8916,1.5183,235.4704,248.0121,231.2002
0.9192,1.0052,69.1832,94.8801,0.9467,235.8628,247.9861,231.7640
0.9293,0.4708,69.9867,94.8158,1.1757,236.4042,247.5451,232.4747
0.9394,-0.0726,70.7857,94.7523,1.3718,236.9478,247.1098,233.1669
0.9495,-0.7546,71.5161,94.7009,1.0644,237.5247,246.7602,233.5743
0.9596,-1.4339,72.2174,94.6503,0.7866,238.0941,246.4367,233.9528
0.9697,-2.0510,72.2340,94.6168,1.2067,238.4890,246.7250,233.6525
0.9798,-2.6605,72.2401,94.5841,1.6417,238.8772,247.0165,233.3490
0.9899,-2.9011,71.7432,94.5954,2.7933,238.9437,247.4598,232.8935
1.0000,-3.1417,71.2464,94.6067,3.9449,239.0103,247.9031,232.4379
