phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-2.9752,69.3026,100.6083,16.0416,241.8150,248.0000,234.7945
0.0204,-0.7689,68.4971,99.2630,18.7045,240.6416,248.0019,233.7568
0.0408,0.8170,67.5667,95.4406,26.0433,238.7023,247.9293,232.2013
0.0612,3.7613,67.3822,95.7894,38.3746,236.2560,246.1467,230.8324
0.0816,6.3014,67.0516,85.1654,54.1353,233.6163,243.2384,229.5530
0.1020,8.3660,66.3610,78.2100,70.3980,230.9389,239.6802,228.8143
0.1224,10.0445,65.2612,70.5085,80.6569,228.2315,235.8136,228.4781
0.1429,11.7528,63.6255,61.0987,91.7546,225.4408,230.8778,228.2348
0.1633,13.4181,61.9799,57.7778,101.5656,222.5257,226.0126,227.8965
0.1837,14.1980,60.4292,55.2295,108.5482,219.4607,221.2560,227.2809
0.2041,14.1660,59.1206,52.8496,112.2470,216.2123,217.1115,226.3776
0.2245,13.9664,58.3733,51.7767,113.4209,212.6762,213.7456,225.2728
0.2449,14.0040,57.7137,51.4658,114.5641,208.8907,211.1480,224.1197
0.2653,13.4478,57.3368,50.3740,114.0208,204.9195,209.0414,223.0462
0.2857,12.7447,56.9062,48.1704,113.3644,201.3947,207.0029,222.0284
0.3061,12.4021,56.4071,47.8076,112.5315,199.8850,205.5000,221.2418
0.3265,12.1258,56.4236,48.1848,111.2276,199.9816,204.4017,220.4676
0.3469,11.0974,57.2217,48.8224,109.2189,200.0801,204.1807,219.9180
0.3673,6.7441,59.0147,48.7980,105.5699,201.9475,205.0295,219.8712
0.3878,3.8498,61.7604,52.3710,93.4477,207.0784,206.9352,220.6009
0.4082,0.6691,65.2405,52.5213,74.6305,212.6766,209.4723,221.9409
0.4286,-0.9975,67.9598,58.5905,53.0599,217.9215,213.1155,223.9833
0.4490,-1.1267,68.6007,64.0122,31.5431,222.2335,217.4698,226.1864
0.4694,-2.4183,68.6566,70.0810,16.4318,225.5172,222.0706,228.0880
0.4898,-2.8306,68.9917,77.7249,10.7413,227.9819,227.2958,229.8097
0.5102,-2.5418,68.5494,85.4070,9.7252,229.8996,232.4106,231.0884
0.5306,-2.7432,68.1751,90.5906,9.7645,231.4401,237.0074,231.9121
0.5510,-3.1365,67.7171,90.4239,9.7519,232.6713,240.7576,232.2932
0.5714,-3.5923,67.9430,92.9527,9.6079,233.6102,243.7092,232.3272
0.5918,-3.6448,67.8381,93.9330,9.8226,234.2981,245.4643,232.1951
0.6122,-4.1768,67.8227,95.0492,10.2188,234.8203,246.8128,232.0337
0.6327,-4.3307,68.3138,95.7554,10.4300,235.2717,247.6285,231.9979
0.6531,-4.1636,68.5026,97.3340,10.6159,235.7152,247.9896,232.1476
0.6735,-4.5396,68.9909,94.8842,10.7336,236.1532,248.0041,232.3657
0.6939,-4.4737,69.0536,97.0373,11.1698,236.5353,248.0000,232.6275
0.7143,-4.5193,69.0472,95.5917,11.4062,236.8289,248.0000,232.7552
0.7347,-4.8154,69.0927,94.7603,11.8516,237.0164,248.0000,232.7452
0.7551,-5.2663,69.1374,94.5605,12.3170,237.1204,248.0000,232.5941
0.7755,-5.1778,69.0045,96.7829,12.9044,237.2104,248.0000,232.3404
0.7959,-6.3948,69.3224,96.4487,12.7704,237.3712,248.0000,232.1585
0.8163,-6.1639,70.1857,99.8474,12.8180,237.6672,248.0000,232.0869
0.8367,-6.4977,71.1893,101.9883,12.2499,238.1322,248.0000,232.3028
0.8571,-7.0407,72.3940,104.1634,11.7325,238.7785,248.0000,232.8347
0.8776,-7.5167,73.0468,103.6746,11.3409,239.5626,248.0000,233.7584
0.8980,-7.9732,73.7703,104.2711,11.1369,240.4244,248.0000,234.6752
0.9184,-9.0925,73.8627,102.8319,11.3269,241.2535,248.0000,235.4183
0.9388,-8.3088,73.7956,103.5365,11.7321,241.9859,248.0000,235.7490
0.9592,-8.0034,72.8408,103.8543,12.1134,242.6340,248.0000,235.7407
0.9796,-6.4956,71.4314,102.7747,13.5783,242.6408,248.0000,235.6742
1.0000,-3.8298,69.5126,99.6705,15.3759,242.1414,248.0000,235.1163
