phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-7.7843,74.4776,111.7967,8.3279,244.8302,247.9448,236.0934
0.0204,-7.2122,72.9209,107.9672,8.5491,245.5408,247.9644,236.1764
0.0408,-4.9105,70.5320,99.5273,8.9548,244.9743,247.1540,235.3293
0.0612,-1.8129,68.7671,95.4462,12.3923,242.9384,245.7731,233.8047
0.0816,0.7362,66.4797,94.2822,20.8663,239.8228,243.9451,231.9092
0.1020,3.1981,65.7115,87.5110,35.0509,236.3391,241.6252,230.0593
0.1224,5.5747,65.4570,87.6303,52.3115,233.0466,238.8796,228.5855
0.1429,8.9343,65.1555,78.1295,72.9783,230.0696,235.4874,227.6496
0.1633,11.4181,64.4063,76.7166,96.9592,227.2096,231.1570,227.0909
0.1837,13.3717,62.6307,70.1746,118.6329,224.1653,226.0222,226.6586
0.2041,14.8581,60.8815,67.7294,127.9359,220.7632,221.4345,226.1693
0.2245,16.0916,59.4733,65.5008,134.0263,216.9289,217.1923,225.4364
0.2449,16.8378,58.7549,62.2604,136.7369,212.6565,213.5821,224.3270
0.2653,16.1114,58.2229,62.2816,139.0590,208.0450,210.9701,223.5560
0.2857,15.1213,57.6556,59.9615,139.6612,203.1750,208.3954,222.4621
0.3061,13.9719,56.9552,58.7046,140.0705,200.1302,206.2539,221.4882
0.3265,13.4495,56.6049,57.6206,140.3191,199.9546,204.0262,220.4160
0.3469,13.0941,56.1550,57.6052,140.2271,199.9984,202.4806,219.5032
0.3673,13.0927,56.0744,56.9916,139.7200,199.9984,201.9735,218.8112
0.3878,13.2331,56.6066,57.1220,137.9672,199.8774,202.9143,218.4142
0.4082,12.1952,57.4793,58.2162,134.3820,200.7991,205.2932,218.6258
0.4286,8.4259,59.5717,59.3630,119.6456,205.0275,208.9797,219.3738
0.4490,4.9862,62.1444,62.1488,90.2204,211.2255,213.4081,220.9081
0.4694,1.7115,65.8148,66.0548,58.9821,217.2555,217.4190,222.8603
0.4898,-0.2885,68.5933,71.0335,36.4646,222.5581,221.3984,225.3792
0.5102,0.0221,70.1201,76.9755,21.5122,226.7971,224.5368,227.6663
0.5306,-0.5405,70.6381,80.7092,13.2773,229.9783,227.9229,229.8989
0.5510,-1.7472,70.4220,82.2102,9.7879,232.2362,231.2744,231.4727
0.5714,-1.7330,69.8177,84.5776,8.4779,233.8009,234.5727,232.3365
0.5918,-2.0593,69.3321,88.5173,8.2623,234.8545,237.2011,232.5875
0.6122,-2.6430,69.1162,94.5451,8.1731,235.5730,239.4216,232.5072
0.6327,-2.8816,69.0412,95.1417,8.1078,236.0791,241.1298,232.2752
0.6531,-3.2244,69.1807,93.9539,8.0587,236.4798,242.1066,232.1784
0.6735,-3.4974,69.2867,96.0296,8.2719,236.8491,242.7067,232.2175
0.6939,-3.9483,69.7186,95.7073,8.3162,237.2242,243.1666,232.4032
0.7143,-3.7358,69.7030,97.5991,8.4393,237.6138,243.4644,232.6152
0.7347,-3.7883,69.8365,94.8298,8.4737,237.9823,243.7182,232.7532
0.7551,-2.6124,69.9256,98.8571,8.4360,238.3247,243.9851,232.8538
0.7755,-3.5299,69.2538,99.3594,8.5087,238.5888,244.3680,232.8716
0.7959,-3.5663,68.7047,99.5272,8.6010,238.7504,245.0263,232.7901
0.8163,-3.5805,67.8299,102.3591,8.8299,238.8059,245.9207,232.6027
0.8367,-3.6089,66.9188,103.2174,9.0770,238.8021,247.0239,232.3313
0.8571,-4.3167,68.6016,104.5727,9.1104,238.8267,247.8479,232.1342
0.8776,-4.0359,69.4244,104.7841,8.9633,239.0347,247.9972,232.1453
0.8980,-4.8838,70.9487,108.1653,8.6068,239.5542,248.0056,232.5541
0.9184,-3.6469,72.8635,114.9395,8.3481,240.4289,247.9782,233.3125
0.9388,-6.0256,73.3514,110.3359,8.0875,241.5916,247.6623,234.2824
0.9592,-6.6614,74.3617,114.5329,8.2865,242.8301,247.0963,235.3498
0.9796,-7.3709,75.3436,115.7191,8.0329,243.1257,247.1480,235.5140
1.0000,-7.3739,74.8841,114.9726,8.1885,244.5253,247.8417,236.0048
