phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-14.4893,77.8842,105.2864,12.1429,247.9924,244.2760,237.2055
0.0204,-14.8742,77.5365,103.0160,17.2872,248.1642,244.5267,237.2279
0.0408,-13.6585,76.0160,98.1891,31.8090,246.0056,242.0722,235.5741
0.0612,-10.1888,72.9552,95.9042,47.2257,242.0291,239.4094,233.4204
0.0816,-6.2921,69.9207,93.9264,59.6070,238.0204,237.6734,231.2998
0.1020,-3.8020,68.5878,88.0308,67.4201,235.4033,235.5867,230.2660
0.1224,-2.4455,67.1533,81.7207,77.4600,232.9534,232.9816,229.6588
0.1429,-0.3626,66.2861,77.8786,91.9231,230.2669,228.9259,229.3006
0.1633,1.5972,64.8477,65.3843,101.1450,227.1943,223.1589,229.3228
0.1837,4.0928,63.4541,58.0500,104.0129,224.0220,217.6723,229.0015
0.2041,7.0255,61.8169,55.0193,107.1365,220.7539,214.9227,228.4793
0.2245,9.2143,60.5894,54.7621,110.1829,217.4728,210.7381,227.6960
0.2449,10.7289,59.2780,52.1145,111.2066,214.0103,207.1427,226.9125
0.2653,11.7409,58.1019,50.7862,111.0526,210.7610,206.2778,225.5049
0.2857,11.3264,57.3813,50.4282,111.4909,207.6006,205.4284,224.3161
0.3061,11.7575,56.5902,49.2324,110.3533,203.8576,204.3730,223.1763
0.3265,11.3247,55.9581,49.6675,109.6293,200.5346,202.3219,222.5369
0.3469,10.7425,55.3694,48.0620,108.7990,199.9774,201.9856,221.6785
0.3673,10.0579,55.0005,46.6232,107.1961,199.9268,201.9807,220.9782
0.3878,9.8933,54.9629,46.1606,105.0043,200.7208,202.1720,220.5177
0.4082,8.6330,54.6947,46.5643,92.9241,206.8890,204.1837,220.4001
0.4286,5.2777,55.8680,47.9010,76.6217,212.4252,207.7174,221.7609
0.4490,-0.9085,58.8901,48.6395,59.4213,219.2402,208.8912,223.8616
0.4694,-6.0975,61.8718,49.3624,46.6712,224.7634,212.0645,225.6937
0.4898,-9.8084,65.9660,51.2752,32.3839,228.9346,214.1791,227.9178
0.5102,-12.1160,69.6950,51.7874,18.1720,232.7254,217.5651,230.3634
0.5306,-13.1268,71.4883,55.9984,12.0389,235.2329,222.3155,231.7568
0.5510,-14.9832,72.7962,61.8219,10.4991,237.3557,226.9132,232.9253
0.5714,-14.0946,73.5009,69.3243,9.9554,238.8327,231.2351,233.7944
0.5918,-12.3835,73.3520,74.3595,9.7958,239.5864,234.5798,233.9800
0.6122,-12.8840,72.6966,76.3826,9.9311,240.0712,236.4950,233.7975
0.6327,-12.7590,72.5540,80.8780,9.9091,240.4708,237.9844,233.4802
0.6531,-12.9556,72.4827,82.8339,10.2178,240.8384,239.1606,233.4051
0.6735,-12.1356,72.5756,85.7424,10.4520,241.2091,239.9068,233.4451
0.6939,-12.8191,72.7671,84.8848,10.5915,241.5692,240.4728,233.5628
0.7143,-13.1004,72.6569,83.7838,11.0270,241.9398,240.7634,233.7989
0.7347,-13.1511,72.7692,84.6546,11.2494,242.2261,240.9192,233.9681
0.7551,-13.3535,72.9264,83.7177,11.3252,242.3891,241.1607,234.0132
0.7755,-12.9238,72.9322,86.6295,11.4317,242.5398,241.4383,233.9734
0.7959,-13.3139,72.8801,86.9530,11.8533,242.6387,241.8338,233.8523
0.8163,-13.0732,73.0489,87.3979,11.8210,242.5981,242.2954,233.6689
0.8367,-12.6612,72.1493,89.5037,11.5756,242.5318,243.3154,233.4033
0.8571,-12.4239,71.4823,92.9239,11.5225,242.5157,244.8589,233.1301
0.8776,-12.7924,71.2538,91.8439,11.6988,242.7291,245.5793,233.1132
0.8980,-12.9730,72.4281,93.3290,11.5777,243.4959,245.5728,233.5970
0.9184,-13.8709,73.9232,93.4315,11.9096,244.3949,244.8227,234.6289
0.9388,-13.1656,75.5913,99.0304,11.8700,245.4516,244.0785,236.0072
0.9592,-13.9574,76.5748,101.8422,11.8340,246.6472,243.7680,236.9437
0.9796,-14.3581,77.5344,103.9991,12.1249,247.6947,243.8852,237.4015
1.0000,-14.5136,77.7417,105.6024,12.4097,247.9883,244.1990,237.2714
