phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-0.7191,69.6298,108.5214,11.5478,238.2359,244.1937,232.9973
0.0101,-1.0412,69.9048,106.4102,18.2835,238.1255,242.9680,232.7731
0.0202,-1.3633,70.1797,104.2989,25.0193,238.0151,241.7423,232.5489
0.0303,-1.3400,69.7396,102.5703,35.1516,237.5600,239.5903,231.8034
0.0404,-1.3095,69.2846,100.8496,45.3548,237.0978,237.4190,231.0471
0.0505,-0.8801,68.4860,99.5883,52.4102,236.2272,235.8704,230.2037
0.0606,-0.4337,67.6729,98.3465,59.3317,235.3393,234.3482,229.3567
0.0707,0.2618,66.9328,97.1611,65.8475,234.3500,233.5500,228.5730
0.0808,0.9737,66.1975,95.9793,72.3369,233.3541,232.7991,227.7934
0.0909,1.7275,65.6763,94.4295,77.8949,232.4834,232.0526,227.0751
0.1010,2.4850,65.1741,92.8469,83.3701,231.6239,231.3065,226.3622
0.1111,3.1840,64.7843,90.8845,85.1887,230.8167,230.5851,225.9157
0.1212,3.8763,64.4071,88.8789,86.5917,230.0155,229.8666,225.4994
0.1313,4.5588,63.9150,86.8458,87.9387,229.1391,229.2254,225.1997
0.1414,5.2399,63.4067,84.8089,89.2778,228.2521,228.5950,224.9161
0.1515,6.0130,62.8212,83.0426,91.3131,227.2625,228.0689,224.6357
0.1616,6.8014,62.2228,81.3214,93.4646,226.2558,227.5603,224.3557
0.1717,7.7002,61.4604,79.8443,96.2450,225.0832,227.0197,223.9890
0.1818,8.6206,60.6661,78.4148,99.1483,223.8781,226.4729,223.6052
0.1919,9.5362,59.7472,77.0079,102.2453,222.3346,225.6826,223.0802
0.2020,10.4507,58.8004,75.6061,105.3860,220.7149,224.8374,222.5234
0.2121,11.1886,57.9650,74.1050,107.1935,218.6255,223.9256,221.8759
0.2222,11.8811,57.1582,72.5784,108.6590,216.4156,222.9967,221.2052
0.2323,12.2903,56.5833,71.0640,108.7836,213.7985,222.3798,220.5604
0.2424,12.6174,56.0755,69.5532,108.5199,211.0636,221.8532,219.9231
0.2525,12.6628,55.5583,68.3071,108.0214,208.3523,221.6755,219.2737
0.2626,12.6167,55.0381,67.1469,107.4468,205.6488,221.6109,218.6205
0.2727,12.3747,54.4554,66.4596,106.5179,203.5803,221.8702,217.9919
0.2828,12.0620,53.8501,65.9432,105.4611,201.7412,222.2465,217.3723
0.2929,11.7072,53.2050,65.9327,104.2899,200.7813,223.0622,216.3675
0.3030,11.3355,52.5439,66.1246,103.0730,200.1732,224.0537,215.2086
0.3131,11.0868,51.8310,66.6390,100.2193,199.9909,225.3392,213.4873
0.3232,10.8922,51.0951,67.2957,96.6433,199.9966,226.7544,211.5178
0.3333,10.8564,50.5121,67.9013,92.2593,199.9984,228.3550,209.2564
0.3434,10.8976,50.0032,68.4821,87.4834,199.9984,230.0456,206.8533
0.3535,10.9552,49.7366,68.5763,83.8635,199.9984,231.7363,204.4531
0.3636,11.0215,49.5986,68.4118,80.8578,199.9984,233.4270,202.0544
0.3737,10.9678,49.7895,67.5175,82.8115,199.9984,234.3683,200.8018
0.3838,10.8443,50.1712,66.1994,87.6453,199.9984,234.8744,200.2146
0.3939,10.6607,50.5577,64.3368,98.7663,199.9984,233.4499,200.3455
0.4040,10.4390,50.9472,62.1293,113.8699,199.9984,230.8025,200.9310
0.4141,10.2830,51.3858,59.9673,118.8867,200.1539,226.3900,202.7481
0.4242,10.1724,51.8584,57.8366,116.9460,200.4165,220.7601,205.4147
0.4343,10.0382,53.0123,56.4218,109.9252,201.6739,215.5741,208.3585
0.4444,9.8862,54.6774,55.5440,99.0937,203.6776,210.7211,211.5101
0.4545,9.4949,56.4947,55.7623,88.3518,206.1755,208.0302,214.9219
0.4646,8.9085,58.4361,56.8738,77.6828,209.0762,207.1014,218.5457
0.4747,8.1041,60.0926,59.0127,64.8587,212.1391,207.9990,221.2885
0.4848,7.1067,61.4970,62.0604,50.1279,215.3457,210.5127,223.2520
0.4949,6.1439,62.6022,65.7047,34.5435,218.3469,213.9946,224.7702
0.5051,5.2139,63.4199,69.9222,18.1380,221.1513,218.4065,225.8609
0.5152,4.4732,63.9093,74.1735,8.2482,223.5606,223.0328,226.9528
0.5253,3.9295,64.0566,78.4602,5.1427,225.5587,227.8826,228.0461
0.5354,3.5348,64.1174,82.3558,3.3431,227.2170,231.8189,228.8817
0.5455,3.3086,64.0804,85.8092,3.0193,228.4912,234.7225,229.4261
0.5556,3.1415,64.0734,88.7329,2.9681,229.5359,236.9721,229.8496
0.5657,3.0469,64.1031,91.0066,3.2513,230.2989,238.4193,230.1247
0.5758,2.9496,64.1166,92.8534,3.3666,230.9293,239.5578,230.3156
0.5859,2.8486,64.1087,94.1309,3.2581,231.3830,240.2849,230.3942
0.5960,2.7126,64.1069,95.1639,3.2922,231.7632,240.8609,230.4262
0.6061,2.5259,64.1142,95.8426,3.5328,232.0370,241.2181,230.3907
0.6162,2.3194,64.1187,96.4130,3.7910,232.2794,241.5486,230.3602
0.6263,2.0816,64.1186,96.8124,4.0769,232.4721,241.8371,230.3374
0.6364,1.8718,64.1174,97.1672,4.2479,232.6537,242.1086,230.3325
0.6465,1.7099,64.1143,97.4453,4.2208,232.8160,242.3507,230.3584
0.6566,1.5874,64.1060,97.7023,4.3177,232.9778,242.5723,230.4008
0.6667,1.5389,64.0879,97.9198,4.6479,233.1387,242.7551,230.4743
0.6768,1.4923,64.1264,98.1386,4.8993,233.3047,242.9260,230.5503
0.6869,1.4497,64.2816,98.3601,4.9882,233.4816,243.0724,230.6312
0.6970,1.3890,64.4820,98.6226,5.1150,233.6706,243.1987,230.7027
0.7071,1.2875,64.7845,98.9780,5.3276,233.8871,243.2796,230.7531
0.7172,1.1942,65.0056,99.4120,5.5478,234.1153,243.3379,230.8021
0.7273,1.1214,65.0233,100.0426,5.7870,234.3728,243.3396,230.8477
0.7374,1.0770,65.0358,100.7465,5.9512,234.6243,243.3505,230.8858
0.7475,1.1111,65.0340,101.6537,5.9077,234.8595,243.3870,230.9033
0.7576,1.1555,65.0062,102.5781,5.7831,235.0713,243.4899,230.8972
0.7677,1.2315,64.8984,103.5557,5.4084,235.2109,243.7977,230.8183
0.7778,1.2969,64.7448,104.4915,5.2375,235.3268,244.1624,230.7227
0.7879,1.3255,64.4329,105.2829,5.7707,235.3607,244.7232,230.5693
0.7980,1.3463,64.1718,106.0210,6.1745,235.3881,245.2996,230.4130
0.8081,1.3369,64.1085,106.5511,6.0734,235.3900,245.9372,230.2459
0.8182,1.3294,64.0715,107.0613,5.9886,235.4039,246.5263,230.1035
0.8283,1.3304,64.1517,107.4829,5.9759,235.4715,246.9002,230.0705
0.8384,1.3322,64.2963,107.9229,5.9608,235.5547,247.2048,230.0814
0.8485,1.3385,64.7709,108.4568,5.9330,235.7179,247.1544,230.3169
0.8586,1.3412,65.2834,109.0209,5.8924,235.8929,247.0602,230.5875
0.8687,1.3232,66.0232,109.7656,5.7751,236.1385,246.7027,231.0689
0.8788,1.3049,66.7486,110.5244,5.7199,236.3910,246.3346,231.5603
0.8889,1.2855,67.3715,111.3830,6.1093,236.6934,245.8906,232.1229
0.8990,1.2700,67.9581,112.2277,6.4288,236.9905,245.4631,232.6697
0.9091,1.2893,68.2253,112.9496,6.1341,237.2412,245.1811,233.0781
0.9192,1.3062,68.4691,113.6352,5.8946,237.4837,244.9217,233.4652
0.9293,1.2968,68.4499,113.9126,6.2762,237.6343,244.9179,233.6127
0.9394,1.2762,68.4324,114.1480,6.6360,237.7819,244.9219,233.7477
0.9495,1.0840,68.4419,113.7368,6.6628,237.8852,245.0453,233.6921
0.9596,0.8827,68.4567,113.2954,6.7045,237.9876,245.1641,233.6325
0.9697,0.4693,68.5981,112.1409,7.0967,238.0707,245.1729,233.4801
0.9798,0.0571,68.7427,110.9844,7.5082,238.1530,245.1747,233.3280
0.9899,-0.3017,69.0356,109.7348,8.8478,238.1913,244.8363,233.1949
1.0000,-0.6606,69.3285,108.4852,10.1874,238.2297,244.4979,233.0618
