phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-1.6253,69.3052,115.3310,6.7839,238.4829,245.6740,233.2514
0.0101,-1.6844,69.3041,113.4430,8.1289,238.7145,245.5268,233.1283
0.0202,-1.7435,69.3030,111.5551,9.4739,238.9461,245.3796,233.0052
0.0303,-1.3966,68.5805,109.6551,13.6204,239.0020,244.5965,232.8252
0.0404,-1.0412,67.8430,107.7549,17.8254,239.0543,243.8002,232.6441
0.0505,-0.4112,66.9224,106.1818,25.8946,238.6336,241.8566,231.6928
0.0606,0.2305,65.9941,104.6227,34.1282,238.1928,239.8641,230.7088
0.0707,0.9240,65.5012,103.2345,41.6693,237.2285,238.8073,229.8811
0.0808,1.6209,65.0366,101.8574,49.1652,236.2301,237.8116,229.0636
0.0909,2.3069,64.7209,100.4449,55.1214,235.1371,237.0333,228.1863
0.1010,2.9919,64.4185,99.0293,60.9407,234.0356,236.2743,227.3037
0.1111,3.7164,63.9898,97.3941,67.9090,233.0694,235.3743,226.5359
0.1212,4.4453,63.5469,95.7338,75.0078,232.1186,234.4583,225.7810
0.1313,5.2449,62.8835,93.7022,80.6703,231.1955,233.5987,225.3260
0.1414,6.0544,62.1894,91.6188,86.1322,230.2762,232.7471,224.9128
0.1515,6.9213,61.4462,89.1699,87.7286,229.2855,232.0009,224.5570
0.1616,7.7977,60.6949,86.6600,88.6808,228.2828,231.2723,224.2109
0.1717,8.6709,59.8888,84.0515,90.7609,227.1842,230.6365,223.8900
0.1818,9.5435,59.0720,81.4238,93.0611,226.0668,230.0189,223.5740
0.1919,10.2949,58.2339,79.0868,96.7131,224.8127,229.3261,223.1705
0.2020,11.0191,57.3908,76.8152,100.6693,223.5278,228.6165,222.7473
0.2121,11.5168,56.7147,75.0639,104.0437,221.9276,227.5761,222.2124
0.2222,11.9563,56.0813,73.4461,107.2689,220.2466,226.4508,221.6488
0.2323,12.1516,55.5907,72.3162,109.0479,218.1438,225.3094,220.9690
0.2424,12.2761,55.1415,71.3277,110.4082,215.9190,224.1632,220.2556
0.2525,12.2089,54.6519,70.6892,110.1510,213.3481,223.4400,219.6189
0.2626,12.0795,54.1492,70.1641,109.3691,210.6649,222.8539,219.0072
0.2727,11.8468,53.6604,69.9011,108.7960,208.0079,222.6299,218.2679
0.2828,11.5769,53.1768,69.7328,108.2983,205.3603,222.5367,217.4825
0.2929,11.3137,52.6956,69.7452,107.5077,203.3758,222.7391,216.8357
0.3030,11.0532,52.2155,69.8298,106.5998,201.6566,223.0598,216.2444
0.3131,10.8620,51.6840,69.8961,105.4283,200.7685,223.7896,215.2573
0.3232,10.7014,51.1297,69.9543,104.1406,200.2471,224.6998,214.0955
0.3333,10.5600,50.8698,69.7138,103.5335,200.0609,225.6531,212.4557
0.3434,10.4280,50.7525,69.3284,103.2564,200.0372,226.6271,210.5842
0.3535,10.2366,50.7000,68.5016,103.3862,200.0209,227.4275,208.5858
0.3636,10.0137,50.6820,67.4402,103.7322,200.0085,228.1355,206.5200
0.3737,9.7658,50.6395,66.1098,104.3364,200.0035,228.4116,204.4591
0.3838,9.5033,50.5828,64.6231,105.0904,200.0029,228.4368,202.4011
0.3939,9.3135,50.7536,63.2695,106.9227,200.0022,227.9640,201.1398
0.4040,9.1697,51.0684,62.0002,109.4380,200.0014,227.1759,200.3831
0.4141,9.0460,51.8106,61.2167,112.0770,200.0445,225.4729,200.9909
0.4242,8.9360,52.8475,60.7682,114.8015,200.1177,223.1387,202.5400
0.4343,8.6358,54.2005,60.9304,113.7534,200.8971,220.2994,204.7750
0.4444,8.1929,55.7906,61.5508,109.8753,202.2063,217.0811,207.5246
0.4545,7.4951,57.4489,62.7413,102.7043,204.0757,214.3632,210.1145
0.4646,6.5895,59.1629,64.3964,92.8496,206.4016,212.0530,212.5743
0.4747,5.6436,60.6742,66.5564,81.4631,208.9612,211.2398,215.6992
0.4848,4.6620,62.0062,69.1630,68.7210,211.7275,211.7511,219.4124
0.4949,3.8692,62.8116,72.1770,54.3768,214.5377,213.1754,222.0053
0.5051,3.2578,63.1112,75.5827,38.4926,217.3904,215.4768,223.5226
0.5152,2.8508,63.2941,79.1518,24.7471,220.0205,218.1960,224.7447
0.5253,2.6565,63.3552,82.8915,13.2274,222.4191,221.3506,225.6596
0.5354,2.5459,63.5332,86.4211,6.3230,224.5013,225.1446,226.7228
0.5455,2.5299,63.8433,89.7133,4.6352,226.2259,229.6614,227.9535
0.5556,2.5004,64.0184,92.5018,3.5035,227.6894,233.1815,228.8264
0.5657,2.4545,64.0279,94.6723,3.0541,228.8322,235.4787,229.2603
0.5758,2.3655,64.0306,96.3152,3.0733,229.7891,237.3685,229.6465
0.5859,2.2191,64.0242,97.2547,3.7171,230.4980,238.7153,229.9690
0.5960,2.0488,64.0380,97.8860,4.0343,231.0914,239.7549,230.1834
0.6061,1.8437,64.0809,98.0706,3.8782,231.5172,240.3491,230.2414
0.6162,1.6588,64.1084,98.2203,3.8936,231.8753,240.8192,230.2660
0.6263,1.5058,64.1113,98.3149,4.1797,232.1262,241.0934,230.2378
0.6364,1.3952,64.1041,98.5280,4.3827,232.3500,241.3560,230.2078
0.6465,1.3577,64.0794,98.9453,4.4428,232.5270,241.5985,230.1744
0.6566,1.3344,64.0755,99.4733,4.4770,232.6966,241.8392,230.1617
0.6667,1.3378,64.1108,100.2100,4.4627,232.8521,242.0765,230.1880
0.6768,1.3123,64.2137,100.9650,4.5620,233.0095,242.2984,230.2292
0.6869,1.2271,64.4561,101.7579,4.8956,233.1704,242.4886,230.3009
0.6970,1.1137,64.6853,102.5001,5.1152,233.3383,242.6783,230.3783
0.7071,0.9365,64.8849,103.1270,5.0766,233.5219,242.8669,230.4688
0.7172,0.7712,65.0205,103.7145,5.1493,233.7122,243.0367,230.5428
0.7273,0.6353,64.9962,104.2035,5.5000,233.9192,243.1593,230.5757
0.7374,0.5331,64.9777,104.7177,5.8283,234.1359,243.2648,230.6082
0.7475,0.5239,64.9753,105.3019,6.0946,234.3793,243.3228,230.6393
0.7576,0.5364,64.9265,105.9547,6.2930,234.6186,243.3775,230.6661
0.7677,0.6156,64.7343,106.8190,6.2819,234.8455,243.4218,230.6796
0.7778,0.6989,64.5240,107.7281,6.2896,235.0551,243.5219,230.6766
0.7879,0.7961,64.2507,108.7921,6.3623,235.2046,243.8151,230.6163
0.7980,0.8895,64.0272,109.8383,6.3160,235.3334,244.1591,230.5422
0.8081,0.9676,63.9981,110.8145,5.8052,235.3813,244.7016,230.4144
0.8182,1.0408,64.0197,111.7391,5.4488,235.4238,245.2577,230.2884
0.8283,1.0919,64.2665,112.4343,5.7782,235.4424,245.8736,230.1711
0.8384,1.1381,64.5655,113.1033,6.0625,235.4729,246.4536,230.0707
0.8485,1.1600,65.1324,113.6378,6.1159,235.5643,246.8493,230.0571
0.8586,1.1765,65.7267,114.1918,6.1672,235.6684,247.1853,230.0795
0.8687,1.1605,66.4856,114.8631,6.2058,235.8493,247.1630,230.3178
0.8788,1.1419,67.2230,115.5659,6.2473,236.0357,247.1052,230.5835
0.8889,1.1043,67.8071,116.4946,6.3085,236.2610,246.7930,231.0461
0.8990,1.0665,68.3346,117.4268,6.3583,236.4907,246.4725,231.5145
0.9091,1.0276,68.3637,118.3905,6.3078,236.7590,246.0785,232.0333
0.9192,0.9834,68.3863,119.3242,6.2469,237.0237,245.6917,232.5434
0.9293,0.8799,68.3344,119.9196,6.0705,237.2480,245.3849,232.9554
0.9394,0.7657,68.2901,120.4727,5.9426,237.4657,245.0944,233.3509
0.9495,0.4884,68.3603,120.3780,6.5602,237.5793,245.0531,233.4923
0.9596,0.2044,68.4341,120.2511,7.1487,237.6926,245.0187,233.6266
0.9697,-0.2351,68.5935,119.3697,7.0554,237.7955,245.1459,233.5937
0.9798,-0.6731,68.7533,118.4799,6.9591,237.8999,245.2741,233.5591
0.9899,-1.0311,68.9370,117.1869,6.7187,238.0705,245.4501,233.4381
1.0000,-1.3891,69.1207,115.8938,6.4782,238.2411,245.6260,233.3171
