phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-0.2572,69.3551,138.8540,6.0198,235.6039,248.1615,234.0344
0.0204,-1.4504,69.1432,123.1645,6.7128,235.4607,247.3890,233.8835
0.0408,-1.0457,69.1579,116.3639,18.4525,234.1792,241.5125,232.3457
0.0612,-1.1776,68.1611,111.2453,37.3965,232.8854,236.7910,231.1935
0.0816,-0.2570,67.3128,106.4253,55.4449,231.5238,232.2200,229.8356
0.1020,1.2768,66.5317,100.4535,71.8805,230.1332,228.8360,228.7248
0.1224,3.5017,65.6509,92.6016,83.4293,228.6426,225.4895,227.8311
0.1429,6.8771,64.4684,90.8521,89.7576,226.9188,221.6983,227.2847
0.1633,9.1002,63.1967,91.4203,93.7187,224.8258,217.6909,227.0051
0.1837,10.9466,61.7716,88.4535,97.3559,222.3785,213.3012,226.7047
0.2041,12.3455,60.6262,88.6785,99.8048,219.7155,210.9667,226.2678
0.2245,13.0803,58.9948,85.1335,102.0981,217.0482,210.0511,225.3050
0.2449,13.1957,57.3284,82.6132,104.6998,214.4100,210.9139,223.9505
0.2653,13.4360,55.8814,82.2188,105.2348,211.6026,213.2659,221.9163
0.2857,13.8624,54.7338,83.2468,105.2862,208.3305,215.6181,219.9042
0.3061,13.1223,54.3268,79.4667,105.2103,204.4949,217.6718,217.8017
0.3265,13.2033,54.1408,81.3386,105.3051,201.0692,218.9759,215.9123
0.3469,13.2005,54.1358,80.6619,104.5763,199.8549,219.6251,214.7430
0.3673,15.0344,54.1572,82.8526,99.7817,199.9984,220.2622,214.6253
0.3878,17.6141,55.4803,86.1135,87.2549,199.9653,221.7885,215.6434
0.4082,18.6867,56.6413,89.1930,69.8474,200.0621,223.9869,217.4575
0.4286,16.2147,58.6284,95.2957,50.3427,203.0215,226.8849,220.0985
0.4490,13.7322,60.2280,95.4986,32.8434,208.0812,229.4070,222.8469
0.4694,11.1899,61.6357,95.9256,22.3763,212.8507,230.8077,224.9493
0.4898,8.8494,62.6824,95.8649,17.0527,216.7572,231.4709,226.5166
0.5102,7.7516,63.2928,97.8002,14.2489,219.5065,231.8148,227.2749
0.5306,7.2301,63.4687,102.3010,11.9781,221.2207,232.4558,227.7434
0.5510,7.5371,63.9479,107.9408,9.8396,222.2745,233.5868,228.2253
0.5714,7.6262,64.3751,114.3670,8.6036,223.0490,234.8484,228.8696
0.5918,5.5726,64.5410,116.2911,7.4656,223.8619,236.3155,229.8066
0.6122,5.0380,65.0131,120.5071,6.7244,224.9016,237.6565,230.5885
0.6327,4.5879,65.1822,125.9277,6.4910,226.1888,239.5292,231.2233
0.6531,2.9204,65.2627,132.1646,6.2535,227.5524,241.1732,231.4009
0.6735,2.9332,65.3200,133.8606,6.1902,228.7802,243.1480,231.2776
0.6939,2.4600,65.5076,132.0542,6.3026,229.7198,244.4878,231.0053
0.7143,2.6743,65.5350,132.3146,6.1229,230.3412,245.3253,230.7277
0.7347,3.0450,65.5194,135.2659,6.2101,230.7401,245.7006,230.5776
0.7551,2.9888,65.5429,134.6006,6.0498,231.0237,245.7993,230.5733
0.7755,2.5127,65.4183,135.0763,6.2098,231.2431,245.8948,230.6553
0.7959,2.0312,64.8012,132.8713,6.3703,231.4116,246.1289,230.6515
0.8163,2.5320,64.1805,130.9526,6.4212,231.4789,246.5366,230.4053
0.8367,3.0208,64.0681,128.7799,6.4608,231.4137,247.0640,229.8994
0.8571,2.2765,64.1371,130.4976,6.6145,231.3026,247.4775,229.3646
0.8776,2.8909,65.3108,135.7872,6.6836,231.2335,247.5080,229.2084
0.8980,2.9657,66.6981,135.7881,6.8041,231.3386,247.0306,229.6439
0.9184,2.6609,67.3999,134.8832,6.6014,231.6818,246.2249,230.7296
0.9388,1.7178,68.3350,139.7099,6.4384,232.3166,245.6931,231.9272
0.9592,0.3634,68.8678,145.6012,6.3953,233.2400,245.9333,233.0401
0.9796,0.0980,69.0345,148.2931,5.9696,234.4251,247.1300,233.6772
1.0000,-0.0488,69.3473,141.3826,6.1629,235.4383,247.9760,233.9604
