phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-1.1543,70.3965,145.1058,7.9017,236.2945,245.2906,234.2250
0.0204,-0.6267,70.1220,138.3358,11.3357,236.0009,243.7117,233.7962
0.0408,0.4791,69.3559,129.7631,30.0777,234.0348,238.7087,232.2844
0.0612,0.9916,67.8431,118.5385,48.7602,231.9243,234.0861,230.5801
0.0816,1.3751,66.7477,113.1571,62.9030,229.9612,231.1665,228.9806
0.1020,2.8326,65.6516,106.7181,75.4694,228.2063,229.3232,227.5471
0.1224,4.4120,65.2034,99.2023,89.3171,226.5524,227.0890,226.3965
0.1429,5.4265,63.5879,90.9391,100.2687,224.7757,222.7203,225.6056
0.1633,7.1961,62.4028,85.5740,105.3401,222.7570,216.0908,225.1690
0.1837,9.0786,61.4717,82.6736,106.8816,220.5392,209.5163,224.8261
0.2041,11.0244,60.3768,82.2082,109.2092,218.1386,203.4361,224.0867
0.2245,11.9792,58.7687,80.2921,112.4663,215.4092,201.9428,223.0469
0.2449,13.3303,57.1837,79.9826,115.6755,212.0207,203.1099,221.5284
0.2653,13.5759,55.7183,77.6187,116.6815,207.6617,207.3091,219.6961
0.2857,13.3727,55.0850,75.1322,115.9324,202.6998,212.0022,217.8698
0.3061,13.0114,54.2766,75.7759,113.9998,199.8460,215.6340,216.2092
0.3265,12.6264,54.1659,73.9161,114.1278,199.9984,216.8458,215.1172
0.3469,12.4477,53.4129,74.0128,114.0557,199.9984,216.2796,214.1730
0.3673,12.3780,53.4201,72.5407,114.1109,199.9851,215.4911,213.7930
0.3878,13.1034,53.7955,73.9956,108.6438,200.0492,216.0518,214.1055
0.4082,13.9386,54.5530,81.1076,83.6239,201.9262,218.8535,215.4982
0.4286,14.6807,56.4335,85.8408,50.7326,207.2609,224.1511,218.6247
0.4490,14.0835,58.5855,92.6304,28.3106,211.6743,228.1229,221.6722
0.4694,12.3340,60.7011,94.1933,19.2548,215.2486,230.8271,224.9320
0.4898,10.4376,62.6976,93.5140,15.5603,218.1852,231.5245,226.8375
0.5102,9.1265,63.9458,95.2184,13.5709,220.7059,231.6759,227.8674
0.5306,7.1471,64.5622,96.6212,11.5405,222.7436,232.3503,228.4642
0.5510,6.6746,64.9613,105.2425,9.9011,224.1984,233.5500,228.9223
0.5714,6.3375,64.7970,108.9541,9.0002,225.1362,235.3552,229.5470
0.5918,6.3782,65.3736,110.9371,8.2678,225.7882,237.2693,230.2099
0.6122,6.7898,65.6578,119.3033,8.3912,226.4340,238.9662,230.7835
0.6327,6.1367,65.7272,125.1413,8.3514,227.2347,240.0476,231.1316
0.6531,4.9857,66.3078,125.1409,8.3442,228.1567,240.7074,231.3075
0.6735,4.0403,66.0846,126.8028,8.1750,229.0481,241.1266,231.3081
0.6939,3.5840,66.1760,130.1578,8.2635,229.7562,241.5506,231.1988
0.7143,3.4052,66.2250,130.8808,8.2508,230.2372,242.0701,231.0264
0.7347,2.9051,66.2336,130.1533,8.0406,230.5503,242.5940,230.9122
0.7551,2.9250,66.1874,131.2047,8.1689,230.8180,243.1283,230.8320
0.7755,2.6590,66.2908,131.6703,8.0784,231.1215,243.7425,230.7314
0.7959,2.4173,65.7515,130.1992,8.3903,231.4391,244.4740,230.5060
0.8163,2.0038,65.5325,132.9186,8.1916,231.6798,245.1903,230.1472
0.8367,1.4457,65.0067,131.8826,8.2994,231.7717,245.6449,229.7402
0.8571,1.6916,65.3202,132.1899,8.3753,231.7702,245.5823,229.4931
0.8776,1.9294,66.1358,128.9754,8.6047,231.8185,244.9897,229.6847
0.8980,2.4450,67.7581,131.7463,8.5371,232.1527,244.0776,230.5364
0.9184,1.5748,68.7004,132.3524,8.3758,232.8731,243.5606,231.7675
0.9388,0.9028,69.6508,141.6942,8.2942,233.9170,243.6806,233.1308
0.9592,-0.2956,70.1240,141.7897,8.0164,234.9740,244.3038,234.0954
0.9796,-0.6071,70.5797,147.7466,8.0124,235.7751,244.9012,234.4146
1.0000,-0.9841,70.2960,147.2553,8.0632,236.2227,245.2771,234.2990
